no,station_id,y,x,street,common name,dt_placement,culex.spp,week,region,dt_placement_original,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
1,Starcevo,44.81098,20.69478,Zarka Zrenjanina 57,Acina Kuca,2024-04-28,3,20,Vojvodina,2024-05-13,2024,4,2024-04-28,44.810212160095936,20.69493835790529,0.4748221906116643,0.09714285714285707,-0.4432071269487751,-0.09714285714285707,0.4412585449306243,0.06620597972370293,-0.4214805307632304,-0.06620597972370293,0.031555857721892414,0.028116004981042268,0.019626116676188285,0.028116004981042268,2024-04-28,44.810212160095936,20.69493835790529,15061.0,14406.0,44.810212160095936,20.694938357905286,13782.8,13547.25,14192.071428571431,13753.454545454546,14564.071428571431,13852.083333333336,14929.529411764706,14157.46153846154,2024-04-28,44.85020515654097,20.650094458920204,190.32240449743645,2024-04-21,2024-04-14,2024-04-21,2024-04-14,12.741746559739113,21.01664380345028
2,Starcevo,44.804737,20.691096,Bastenska 58-64,Ergela,2024-04-28,0,20,Vojvodina,2024-05-13,2024,4,2024-04-28,44.80572058367535,20.69044678148468,0.4158443755286157,0.04018227009113499,-0.4043624161073824,-0.04018227009113499,0.4202789243460929,0.0655842305005746,-0.4058635542156583,-0.0655842305005746,0.14563659598334333,0.1367300385499552,0.11084826673763644,0.1367300385499552,2024-04-28,44.80572058367535,20.69044678148468,15088.0,14403.0,44.80572058367535,20.69044678148468,13767.090909090908,13519.7,14171.533333333333,13709.7,14517.75,13840.0,15010.4375,14175.666666666664,2024-04-28,44.85020515654097,20.650094458920204,190.32240449743645,2024-04-21,2024-04-14,2024-04-21,2024-04-14,12.741746559739113,21.01664380345028
3,Pancevo,44.867029,20.653822,Pasterova 2,Opsta Bolnica,2024-04-28,45,20,Vojvodina,2024-05-13,2024,4,2024-04-28,44.86860265356371,20.654514170119906,0.4249422632794457,0.11371841155234655,-0.39159853397237104,-0.11371841155234655,0.3914378258296105,0.07894290149558664,-0.3700852511671262,-0.07894290149558664,0.10379853663102197,0.08062876212526902,0.07113999597082245,0.08062876212526902,2024-04-28,44.86860265356372,20.654514170119906,15011.0,14478.0,44.86860265356372,20.654514170119906,13756.285714285714,13550.272727272728,14150.846153846154,13833.909090909092,14483.533333333333,13942.0,14882.684210526317,14291.583333333336,2024-04-28,44.85020515654097,20.650094458920204,190.32240449743645,2024-04-21,2024-04-14,2024-04-21,2024-04-14,12.741746559739113,21.01664380345028
4,Jabuka,44.947624,20.585016,Tamiska,Mesto,2024-04-28,3,20,Vojvodina,2024-05-13,2024,4,2024-04-28,44.949451029134465,20.58714052381093,0.4227714033539275,0.037323037323037316,-0.4041811846689895,-0.037323037323037316,0.5119416709874255,0.14785533173270254,-0.4548261226600679,-0.14785533173270254,0.1204948833989942,0.1297761392539975,0.07371616631382634,0.1297761392539975,2024-04-28,44.949451029134465,20.58714052381093,14977.0,14459.0,44.94945102913447,20.58714052381093,13783.0,13673.166666666664,14213.916666666664,13799.2,14529.285714285714,13899.636363636364,14892.625,14245.545454545454,2024-04-28,44.95020561396915,20.550094001492017,168.45445584932895,2024-04-21,2024-04-14,2024-04-21,2024-04-14,0.6570638697594404,1.989987747860141
5,Jabuka,44.946417,20.606634,Ribarska 147,Ergela,2024-04-28,18,20,Vojvodina,2024-05-13,2024,4,2024-04-28,44.94495945271388,20.605106829493323,0.7543760587238849,0.3995495495495496,-0.5986622073578595,-0.3995495495495496,0.6325295833415496,0.2630267943457425,-0.524755935211119,-0.2630267943457425,0.13190902979825073,0.14918808152589647,0.07259892502248146,0.14918808152589647,2024-04-28,44.94495945271388,20.605106829493323,15107.0,14424.0,44.94495945271388,20.605106829493323,13761.166666666664,13625.142857142857,14190.5,13778.2,14468.0,13902.916666666664,14912.0625,14212.416666666664,2024-04-28,44.95020561396915,20.650094458920204,152.2542973751057,2024-04-21,2024-04-14,2024-04-21,2024-04-14,1.6501248180866241,5.629469303617952
6,Glogonj,44.991909,20.514506,Utrnska,Ulaz,2024-04-28,0,20,Vojvodina,2024-05-13,2024,4,2024-04-28,44.98987521691986,20.515275301081363,0.5626651012621073,0.16908212560386468,-0.488814317673378,-0.16908212560386468,0.5501946608710511,0.15545525270852026,-0.47555311432550296,-0.15545525270852026,0.09459710382566508,0.10088537955144368,0.051875216511388336,0.10088537955144368,2024-04-28,44.98987521691986,20.515275301081363,15013.0,14438.0,44.98987521691986,20.515275301081363,13791.545454545454,13540.5,14191.6,13814.222222222224,14510.933333333332,13926.090909090908,14845.5,14231.692307692307,2024-04-28,44.95020561396915,20.550094001492017,168.45445584932895,2024-04-21,2024-04-14,2024-04-21,2024-04-14,0.6570638697594404,1.989987747860141
7,Sefkerin,45.00674,20.47046,Partizanska,Ulaz,2024-04-28,18,20,Vojvodina,2024-05-13,2024,4,2024-04-28,45.00784152260226,20.470359536875385,0.4324159021406728,0.06357856494096276,-0.3886747702342128,-0.06357856494096276,0.5561832025955594,0.16096727142783582,-0.4800309104179861,-0.16096727142783582,0.10429305031566703,0.0982835324214345,0.06490179372891007,0.0982835324214345,2024-04-28,45.00784152260226,20.470359536875385,14980.0,14436.0,45.00784152260226,20.470359536875385,13758.636363636364,13555.909090909092,14196.666666666664,13772.666666666664,14483.466666666667,13894.230769230771,14864.5,14200.5,2024-04-28,45.05020607139734,20.450093544063833,134.79586816734138,2024-04-21,2024-04-14,2024-04-21,2024-04-14,1.264835797579178,2.2097776987153677
8,Sefkerin,45.000675,20.494024,Zarka Zrenjanina ,Cicvaric Mesara,2024-04-28,0,20,Vojvodina,2024-05-13,2024,4,2024-04-28,44.998858369761045,20.492817418978373,0.6301211771494519,0.19298986486486489,-0.5390901661672569,-0.19298986486486489,0.5569069410181984,0.15360631994815194,-0.4872639664300761,-0.15360631994815194,0.13041341797508266,0.1205916747380026,0.08204076787251942,0.1205916747380026,2024-04-28,44.99885836976107,20.492817418978373,14963.0,14464.0,44.99885836976107,20.492817418978373,13794.272727272728,13572.75,14199.583333333336,13795.375,14499.5,13940.454545454546,14833.1875,14238.727272727272,2024-04-28,45.05020607139734,20.450093544063833,134.79586816734138,2024-04-21,2024-04-14,2024-04-21,2024-04-14,1.264835797579178,2.2097776987153677
9,Opovo,45.053365,20.41783,Tamiska,Tamiska,2024-04-28,2,20,Vojvodina,2024-05-13,2024,4,2024-04-28,45.052757286808216,20.416460619828207,0.4496932515337424,0.11278549564398398,-0.3986386504883101,-0.11278549564398398,0.6080322226651381,0.2461256209229623,-0.5107642147476462,-0.2461256209229623,0.1012629919981372,0.11820607538122788,0.06681216143026403,0.11820607538122788,2024-04-28,45.052757286808244,20.416460619828207,15016.0,14423.0,45.052757286808244,20.416460619828207,13753.5,13512.375,14163.545454545454,13761.111111111111,14521.0,13921.583333333336,14837.277777777776,14202.4,2024-04-28,45.05020607139734,20.450093544063833,134.79586816734138,2024-04-21,2024-04-14,2024-04-21,2024-04-14,1.264835797579178,2.2097776987153677
10,Opovo,45.045172,20.430594,Slatinska,Izlaz,2024-04-28,22,20,Vojvodina,2024-05-13,2024,4,2024-04-28,45.043774133967034,20.429935349089998,0.5138929511553085,0.1413450937155458,-0.4609088343211967,-0.1413450937155458,0.5082012129243498,0.14021436812542873,-0.4590410730843954,-0.14021436812542873,0.09348474367868714,0.10392667063092376,0.05815217095637173,0.10392667063092376,2024-04-28,45.043774133967034,20.429935349089998,15030.0,14455.0,45.043774133967034,20.429935349089998,13756.083333333336,13524.666666666664,14137.916666666664,13727.636363636364,14507.0625,13912.25,14867.125,14215.0,2024-04-28,45.05020607139734,20.450093544063833,134.79586816734138,2024-04-21,2024-04-14,2024-04-21,2024-04-14,1.264835797579178,2.2097776987153677
