x,y,region,station_id,dt_placement,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
20.40437,45.016541,Južno-Banatski,SR_CU_1156,2024-06-01,2024,6,2024-05-30,45.01682467544345,20.402985890566413,0.2821081830790568,-0.08457120221826102,-0.28531701890989986,0.08457120221826102,0.324550180002949,-0.08006753024031768,-0.3298984401943865,0.08006753024031768,0.0534032291701113,0.04892999504497643,0.03105423215788802,0.04892999504497643,2024-05-28,45.01682467544345,20.402985890566413,15113.0,14384.0,45.01682467544345,20.402985890566413,13746.916666666664,13452.933333333332,14175.53846153846,13694.909090909092,14483.388888888889,13851.733333333335,14911.294117647061,14190.833333333336,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.40437,45.034507,Južno-Banatski,SR_CU_1157,2024-06-01,2024,6,2024-05-30,45.03479098112585,20.402985890566413,0.3866120218579234,0.08036189462480044,-0.3834620626987732,-0.08036189462480044,0.4065342015643693,0.08769737494897595,-0.3948761309385316,-0.08769737494897595,0.05121896751668313,0.050759100933481065,0.035234580051401974,0.050759100933481065,2024-05-28,45.03479098112585,20.402985890566413,15190.0,14402.0,45.03479098112585,20.402985890566413,13751.333333333336,13523.5,14175.909090909092,13703.5,14559.666666666664,13898.428571428569,14955.235294117649,14195.727272727272,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.40437,45.052474,Južno-Banatski,SR_CU_1158,2024-06-01,2024,6,2024-05-30,45.052757286808216,20.402985890566413,0.4775233248515692,0.1531332744924978,-0.4321731981364757,-0.1531332744924978,0.3518818058340397,0.08930808388261273,-0.3516362247818413,-0.08930808388261273,0.0023232279290051608,0.012590018015489222,0.027976032879196863,0.012590018015489222,2024-05-28,45.052757286808244,20.402985890566413,15141.0,14403.0,45.052757286808244,20.402985890566413,13752.0,13507.0,14120.333333333336,13714.833333333336,14533.125,13882.214285714286,14828.947368421052,14191.181818181818,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.40437,45.070441,Južno-Banatski,SR_CU_1159,2024-06-01,2024,6,2024-05-30,45.070723592490616,20.402985890566413,0.6818467995802727,0.35440256886935945,-0.5769382133018497,-0.35440256886935945,0.5658728246297571,0.2733881991082047,-0.4912559460964344,-0.2733881991082047,0.053876179853017216,0.09857799331925562,0.0428133573302009,0.09857799331925562,2024-05-28,45.070723592490644,20.402985890566413,15022.0,14364.0,45.07072359249064,20.402985890566413,13756.333333333336,13485.916666666664,14168.75,13670.333333333336,14483.4375,13858.46153846154,14804.411764705883,14150.3,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.40437,45.088407,Južno-Banatski,SR_CU_1160,2024-06-01,2024,6,2024-05-30,45.08868989817303,20.402985890566413,0.7232250300842359,0.32666296090420605,-0.6126126126126126,-0.32666296090420605,0.7177894550303051,0.40486179775854997,-0.6026199599706765,-0.40486179775854997,0.05472162850335355,0.03566138164677163,0.04111359870352925,0.03566138164677163,2024-05-28,45.08868989817303,20.402985890566413,14983.0,14336.0,45.08868989817303,20.402985890566413,13750.833333333336,13529.416666666664,14175.727272727272,13717.727272727272,14479.764705882351,13867.0,14769.235294117649,14187.2,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.429616,44.998574,Južno-Banatski,SR_CU_1161,2024-06-01,2024,6,2024-05-30,44.99885836976107,20.429935349089998,0.6338389233069857,0.20955242764510515,-0.5311311311311311,-0.20955242764510515,0.6317884947720853,0.21050510913926104,-0.5317222195239999,-0.21050510913926104,0.13088828539658234,0.10024663158834186,0.08699856577832002,0.10024663158834186,2024-05-28,44.99885836976107,20.429935349089998,15220.0,14393.0,44.99885836976107,20.429935349089998,13732.692307692307,13432.571428571431,14217.916666666664,13694.181818181818,14549.25,13866.636363636364,14975.266666666665,14150.25,2024-06-01,44.95020561396916,20.450093544063833,301.0512510338651,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5344348130747676,133.90919081890024
20.429616,45.016541,Južno-Banatski,SR_CU_1162,2024-06-01,2024,6,2024-05-30,45.01682467544345,20.429935349089998,0.5286363636363637,0.1841549295774648,-0.4526997840172786,-0.1841549295774648,0.3932654649160852,0.04654167291463968,-0.3822278203480301,-0.04654167291463968,0.05403373402160412,0.054903740950670105,0.03439404572691901,0.054903740950670105,2024-05-28,45.01682467544345,20.429935349089998,15064.0,14395.0,45.01682467544345,20.429935349089998,13722.916666666664,13542.0,14207.8,13721.25,14505.125,13906.0,14873.176470588234,14203.636363636364,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.429616,45.034507,Južno-Banatski,SR_CU_1163,2024-06-01,2024,6,2024-05-30,45.03479098112585,20.429935349089998,0.7178045515394912,0.3732876712328767,-0.5721636853712326,-0.3732876712328767,0.6460176237196913,0.33600390573668365,-0.5176679472284487,-0.33600390573668365,0.1082002849334482,0.08620730200055525,0.12140391098163425,0.08620730200055525,2024-05-28,45.03479098112585,20.429935349089998,15000.0,14376.0,45.03479098112585,20.429935349089998,13750.583333333336,13502.0,14185.454545454546,13752.0,14526.6,13909.833333333336,14823.35294117647,14215.545454545454,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.429616,45.052474,Južno-Banatski,SR_CU_1164,2024-06-01,2024,6,2024-05-30,45.052757286808216,20.429935349089998,0.4495956873315363,0.04691454156122252,-0.4189973614775726,-0.04691454156122252,0.3386368258720283,0.13381176843891773,-0.25006755472045,-0.13381176843891773,0.07285117766605663,0.09386488850751976,0.13020662033988858,0.09386488850751976,2024-05-28,45.052757286808244,20.429935349089998,15073.0,14417.0,45.052757286808244,20.429935349089998,13755.545454545454,13538.0,14118.75,13755.333333333336,14524.0,13911.25,14819.35294117647,14207.1,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
20.429616,45.070441,Južno-Banatski,SR_CU_1165,2024-06-01,2024,6,2024-05-30,45.070723592490616,20.429935349089998,0.4654215042907623,0.06924493554327801,-0.4223419892209701,-0.06924493554327801,0.5452122421432537,0.1506376555449771,-0.4761242893083131,-0.1506376555449771,0.11754970528688308,0.10624935020340336,0.07560591353232593,0.10624935020340336,2024-05-28,45.070723592490644,20.429935349089998,15049.0,14386.0,45.07072359249064,20.429935349089998,13725.5,13469.153846153846,14130.545454545454,13692.833333333336,14454.111111111111,13857.0,14827.94117647059,14147.0,2024-06-01,45.05020607139734,20.450093544063833,247.42028589084714,2024-05-25,2024-05-18,2024-05-25,2024-05-18,0.5528759798035026,103.98863553081173
