x,y
19.847222,45.210242
19.823055,45.261025
19.821696,45.283559
19.850657,45.265763
19.829969,45.247994
19.814183,45.264983
19.81505,45.254983
19.87835,45.2477
19.809452,45.263917
19.826924,45.260269
20.028734,45.21564
20.068831,45.192049
19.564826,46.15796
19.565301,46.158013
19.564564,46.157968
19.84275,45.362383
20.388118,45.350353
20.642353,45.309815
20.640926,45.315904
20.548678,45.48668
20.539885,45.568397
20.52485,45.556847
20.527589,45.38671
20.549805,45.389714
20.391617,45.3592
20.6911,44.80476
20.653817,44.867033
20.58505,44.947683
20.660798,44.880437
20.624942,44.868924
20.727104,44.756191
20.698492,44.74524
20.793102,44.726126
20.877788,44.902842
20.53275,44.988028
20.639978,44.856254
20.642635,44.881807
20.682432,44.896476
20.636119,44.879989
20.65832,44.862319
20.713259,44.962447
20.774745,44.981722
20.159233,44.986733
20.964101,45.079019
19.40895,45.023233
19.798572,45.357015
19.81034,45.355189
19.798456,45.360961
20.305883,45.511517
20.0217,45.61265
20.133122,45.593758
20.151256,45.597192
20.63753,45.620546
19.109676,45.046769
19.770903,44.87037
19.419674,45.019035
19.90225,45.654467
19.76125,44.87385
19.408933,45.023233
19.900417,45.652167
19.84437,45.251173
19.846189,45.25135
19.808623,45.265463
21.3065,45.120247
19.310287,45.306722
20.632871,44.911603
20.58435,44.948167
20.52185,44.984633
20.4705,45.00675
20.41785,45.053383
20.470517,45.00675
20.417833,45.053367
20.383483,45.21465
20.447683,45.3114
20.42345,45.311117
20.304433,45.528133
20.305733,45.51155
19.6315,45.825283
19.653117,45.709633
19.634267,45.793367
19.7087,45.657733
19.7094,45.658083
19.816367,45.44495
19.8585,45.39125
19.753117,46.100367
19.674767,46.080767
19.674817,46.080817
19.406667,45.981733
18.962967,45.65125
18.962933,45.651317
19.189,45.50595
19.527674,45.370195
19.742383,45.286183
20.066667,45.056233
20.15925,44.986667
19.886367,45.225067
19.8427,45.362383
19.591767,44.974817
19.227017,45.014217
20.413467,45.633867
20.447417,45.8026
20.32145,45.832183
20.1026,45.9362
20.060183,46.06005
19.633472,45.851222
19.629502,45.814666
19.702454,45.671441
19.68145,45.67995
19.644154,46.089065
19.292883,45.7665
19.332457,45.923825
19.242486,45.813342
19.031848,45.67756
19.251388,45.504809
20.601222,45.665806
20.591278,45.830667
20.429667,45.92875
20.279861,45.959917
19.582639,44.985222
19.204489,45.847248
19.395501,45.416504
19.519094,42.822655
20.69478,44.81098
20.691096,44.804737
20.653822,44.867029
20.585016,44.947624
20.606634,44.946417
20.514506,44.991909
20.47046,45.00674
20.494024,45.000675
20.41783,45.053365
20.430594,45.045172
20.372052,45.215019
20.385334,45.215243
20.447702,45.311432
20.423453,45.311079
20.39108,45.359569
20.413639,45.386306
20.304444,45.528139
20.305917,45.511735
20.141144,45.597078
20.143699,45.581111
20.022146,45.612937
19.631602,45.827403
19.634,45.859583
19.653719,45.709719
19.679061,45.701111
19.709208,45.658136
19.786532,45.53769
19.816372,45.44494
19.843538,45.361843
19.858687,45.391624
19.755222,46.099172
19.676158,46.080117
19.639352,46.089969
19.4145,45.979106
19.331687,45.923389
19.210842,45.857961
19.240646,45.813258
19.294542,45.767415
19.098878,45.755889
18.992625,45.668838
19.033797,45.677845
19.112827,45.606516
19.186435,45.504476
19.251484,45.503035
19.402898,45.414863
19.53634,45.369323
19.745317,45.289375
19.814186,45.265159
19.82124,45.242379
19.819215,45.034486
19.106996,45.047225
20.313649,45.834543
20.635,44.89
20.601833,44.947167
20.52275,44.983617
20.712883,44.962467
20.781467,44.98755
20.680833,44.895683
20.660233,44.881
20.63945,44.8565
20.65275,44.867333
20.6575,44.856417
20.670667,44.8445
20.706033,44.80625
20.739333,44.753167
20.702333,44.73425
20.805133,44.726083
20.881417,44.903583
20.631317,44.87635
20.668483,44.891167
20.6423,44.884183
20.763633,44.869
