"x","y","DISTANCE_TO_COAST","DISTANCE_TO_RIVER","SLOPE_mean_1km","ASPECT_mean_200m","ELEVATION_mean_1km","HILLSHADE_mean_1km","FS_AREA_1km","FLOW_ACCU_200m"
8.296315,49.021501,172.996872115066,266.220556493732,0,123.605800785325,106.896229496567,179.945126619509,0.744259512979904,54980.4756719844
8.00816,49.985849,38.041044764387,413.367415466303,2,161.085010686739,82.0037254066649,180.267421456372,0.978538778193216,5995.01245237432
8.486561,49.37627,427.178239756599,1127.19927832337,0,170.612836438923,97.5461180434094,180.135121611945,0.484660121042529,1.00995670995671
8.381922,49.570168,26.1190445575072,309.852136862671,2,101.879776502794,89.1594425412006,180.177912693726,0.563466810424326,613.462425469682
8.363227,49.85911,300.37025049157,412.243271889448,1,179.154711778515,95.01671573659,176.257743132208,0.519052225571576,2.50925960427768
7.695708,48.219534,2014.31595731762,184.857433301634,4,156.966078488092,169.824020183893,180.032973782715,0,180.781737537364
7.710277,48.059292,6584.46341915779,319.153783192743,2,120.111837777176,193.393966602314,178.102284839222,0.001204095703125,18.592798266321
8.41138,49.825157,1020.2811746732,580.561630889112,1,169.595055190931,91.0342939556685,180.00728826521,0.0811635345918543,1.19917213603819
7.739779,48.057447,5456.71305770139,325.079084344521,1,162.911936052025,195.670228416511,181.373085826244,0,26.5438287494919
7.771718,48.459707,279.023389962574,78.8472346146227,2,136.29055727257,143.554171919758,180.739227457419,0.862373355892645,102.01282322001
8.520021,49.863317,1243.45790605112,502.876927440434,0,160.431673837328,90.3463942147055,180.546616916001,0,4.70792125309642
8.270504,48.975548,271.501628431754,481.498091419075,1,155.623070057162,107.76416923944,179.979353953985,0.466894572636623,1
8.344035,49.927527,229.407757673988,577.92152754898,0,173.863850289265,85.4736613033445,180.365947535147,0.568100888053385,1
7.934067,48.685016,215.929507845576,659.777491813609,1,170.141154448562,125.897884633555,180.428268521267,0.552766045426911,3.314130725446
8.441556,49.731548,236.203598548226,402.753845791588,0,164.626427223292,89.3813832142733,180.476280721586,0.571848142776549,2.95677685795975
8.518836,49.369708,357.405140748516,835.824195156039,1,148.406814759036,99.6465418625521,180.375867405228,0.155093892016602,1
8.364548,49.175141,527.247582122862,610.276734504402,3,131.041730481971,103.138203248738,179.808279494641,0.343740628267655,1.05381284625711
7.757027,48.408606,1194.7945267954,1291.44941318205,2,137.729227517294,148.681364906758,179.940046501328,0.0047833787841796,16.2292851652575
8.164592,49.038977,6868.28930577902,2403.62497129372,1,132.231807923534,134.872933466104,179.994552771778,0,1.05023800944452
8.472244,49.286018,64.0262646122745,66.4388308455998,7,156.231322164365,97.7449560637856,180.548762766493,0.551049345300054,353684.685023772
8.437625,49.592503,281.230969325753,1109.61285627186,0,141.406096601341,91.1333251525318,180.246277917898,0.038042406004902,28.1498482407165
7.7384,48.381404,427.749966504639,529.472749024447,0,141.421760861207,151.319293187408,180.027365485402,0.402213956245213,1
7.867669,48.400243,1400.69997104212,1182.67336917429,1,143.608844387216,150.119998473673,180.447274384194,0.112426653625488,1.61103530451829
8.361245,49.180282,980.326068453048,107.616704616869,3,115.069670736778,102.208092864493,179.746554006324,0.0526913141721239,2933.44839904737
8.461155,49.813561,2541.88888139691,1725.66672963223,2,176.374473242588,90.1741526465117,180.506102021258,0,2.22226365840015
7.658595,48.20418,896.011153234936,1045.3009147709,5,142.554541595925,174.649226417546,180.283706736428,0.0448335934091606,1.1986224726038
8.35908,49.115716,256.79111137357,401.695578221185,0,119.05214840053,102.947900471151,180.430539861988,0.416065397282858,1
7.582356,48.103378,114.272840759673,246.236161117999,9,156.350697062861,190.785340290494,184.040054850482,0.46773238681138,39928.0370477793
7.804023,48.504416,114.768299245155,232.220252713983,6,145.195886367122,141.044160337603,179.992808312253,0.564343268895048,96412.314579819
8.392527,49.755169,127.90159315874,260.4979847674,0,121.570427928349,86.517334309798,180.337224632243,0.312794934305587,53.1377925546818
7.765352,48.439419,385.957581113441,673.378206214328,2,158.811350105627,146.473014617487,180.405029695509,0.783490745105938,1
7.692928,48.247767,967.934564557121,989.520489190028,0,152.356992811579,168.036873075541,179.951303435528,0,1
8.458288,49.738154,180.772697101945,209.491993253618,2,163.042396950559,89.9930642893191,180.453763263891,0.610173095520259,191868.810232071
7.973691,48.751194,266.855337310764,363.643077882463,8,142.148099381727,123.006869849563,180.20673224453,0.590836923174211,1.68910770170216
8.382213,49.700655,356.375635776699,622.438601627913,1,174.266746433846,91.9462164112207,180.754252938904,0.520095903488817,1
7.9373,48.6964,185.332222206833,209.233674529153,5,191.193056165613,125.730145483135,181.043355595771,0.887896936386767,118832.062085824
7.906248,48.667697,397.559889815335,576.280845449728,3,126.216806465789,128.727212240697,180.107676186266,0.709107280047248,1.15327588512907
7.722423,48.272803,2463.75140485459,280.52535811058,1,170.211606265534,161.42023939358,180.59354771445,0.0023978818359375,1.66716760110206
7.748795,48.359666,696.97772281808,781.255700444207,3,113.202646306518,152.81705689776,180.403872707885,0.252619283607633,9.98605688789738
7.740874,48.316083,287.197611144858,85.0236796614224,2,154.078418540191,158.400551446892,180.430251486164,0.37826965248832,3829.12043809671
