x,y,region,station_id,dt_placement,year,month,indices_image_date,indices_lat,indices_lon,ndvi_new,ndmi_new,ndwi_new,ndbi_new,ndvi_mean_new,ndmi_mean_new,ndwi_mean_new,ndbi_mean_new,ndvi_std_new,ndmi_std_new,ndwi_std_new,ndbi_std_new,lst_image_date,lst_lat,lst_lon,lst_day_new,lst_night_new,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean_new,lst_jan_night_mean_new,lst_feb_day_mean_new,lst_feb_night_mean_new,lst_mar_day_mean_new,lst_mar_night_mean_new,lst_apr_day_mean_new,lst_apr_night_mean_new,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan_new,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week_new,acc_rainfall_2week_new
10.466018,45.970416,Trentino-Alto Adige,2048,2023-06-06,2023,6,2023-06-02,45.96903887661022,10.46761884820364,,,,,0.08653650526598743,0.3092197964077488,-0.08043718440179452,-0.3092197964077488,0.06222358722182539,0.09596036022827163,0.041526216518272575,0.09596036022827163,2023-05-30,45.96903887661022,10.46761884820364,,13466.0,45.96903887661022,10.46761884820364,13198.388888888889,13035.473684210527,13379.055555555557,13205.411764705883,13574.25,13270.5,13619.125,13304.53846153846,2023-06-04,45.950210188251006,10.450047801245333,97.21496561911772,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.6112162987701595,0.7022280654637143
10.466018,45.988383,Trentino-Alto Adige,2049,2023-06-06,2023,6,2023-06-02,45.98700518229261,10.46761884820364,0.14697406340057634,0.22503419972640207,-0.11104218362282878,-0.22503419972640207,0.14627039322968033,0.2521333229461557,-0.1151488229048183,-0.2521333229461557,0.07305614471087969,0.09759496469920947,0.08048178269003782,0.09759496469920947,2023-05-30,45.98700518229261,10.46761884820364,14197.0,13405.0,45.98700518229261,10.46761884820364,13196.833333333336,13063.470588235294,13413.294117647061,13228.470588235294,13595.833333333336,13294.666666666664,13622.166666666664,13317.416666666664,2023-06-04,45.950210188251006,10.450047801245333,97.21496561911772,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.6112162987701595,0.7022280654637143
10.466018,46.006349,Trentino-Alto Adige,2050,2023-06-06,2023,6,2023-06-02,46.004971487975006,10.46761884820364,,,,,-0.032019704433497505,0.5578066505175072,0.029096898160856432,-0.5578066505175072,0.0,0.0,0.0,0.0,2023-05-30,46.004971487975006,10.46761884820364,14260.0,13831.0,46.004971487975006,10.46761884820364,13209.0,13030.470588235294,13432.764705882351,13167.055555555557,13661.454545454546,13219.785714285714,13680.285714285714,13254.615384615383,2023-06-04,46.050210645679186,10.450047801245333,144.82340554211987,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.9098271827679127,3.0990790042560548
10.466018,46.024316,Trentino-Alto Adige,2051,2023-06-06,2023,6,2023-06-02,46.022937793657405,10.46761884820364,-0.07203953620984607,0.7485673352435531,0.08679386457164237,-0.7485673352435531,-0.03987753048669905,0.6431636677342408,0.029950118607833937,-0.6431636677342408,0.02574756962440684,0.2418384487107872,0.04011111940331138,0.2418384487107872,2023-05-30,46.0229377936574,10.46761884820364,,13536.0,46.0229377936574,10.46761884820364,13152.117647058823,13016.111111111111,13360.388888888889,13089.277777777776,13558.363636363636,13206.769230769229,13540.222222222224,13256.0,2023-06-04,46.050210645679186,10.450047801245333,144.82340554211987,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.9098271827679127,3.0990790042560548
10.466018,46.060249,Trentino-Alto Adige,2052,2023-06-06,2023,6,2023-06-02,46.05887040502219,10.46761884820364,0.13647540983606554,0.21783047870004388,-0.1371744925158909,-0.21783047870004388,0.1821040324614764,0.32234568830440663,-0.15939471364813804,-0.32234568830440663,0.17086084831784146,0.14469927467090454,0.11644382273353213,0.14469927467090454,2023-05-30,46.05887040502218,10.46761884820364,14404.0,13937.0,46.05887040502218,10.46761884820364,13290.5625,13257.666666666664,13570.642857142857,13435.866666666667,13698.583333333336,13384.0,13794.375,13469.916666666664,2023-06-04,46.050210645679186,10.450047801245333,144.82340554211987,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.9098271827679127,3.0990790042560548
10.491731,45.826682,Trentino-Alto Adige,2053,2023-06-06,2023,6,2023-06-02,45.82530843115109,10.490076730306626,0.6502782931354361,0.2574659833892913,-0.5385945945945946,-0.2574659833892913,0.6914164712544862,0.2916271515866169,-0.5544468018818877,-0.2916271515866169,0.031646854917277784,0.02148828851518636,0.03451186792715054,0.02148828851518636,2023-05-30,45.82530843115109,10.490076730306626,14670.0,14279.0,45.82530843115109,10.490076730306626,13785.153846153846,13582.583333333336,14053.625,13703.2,14269.666666666664,13779.615384615383,14307.583333333336,13813.454545454546,2023-06-04,45.85020973082282,10.450047801245333,173.53028232890938,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.8086617897934048,2.46444261893339
10.491731,45.844649,Trentino-Alto Adige,2054,2023-06-06,2023,6,2023-06-02,45.84327473683349,10.490076730306626,0.4815347721822542,0.13649742457689473,-0.4454843238184371,-0.13649742457689473,0.5312699070023442,0.15820437010659727,-0.4631543220695736,-0.15820437010659727,0.10326371580510332,0.08003599947199347,0.040630491858924235,0.08003599947199347,2023-05-30,45.84327473683348,10.490076730306626,14753.0,14075.0,45.84327473683348,10.490076730306626,13525.333333333336,13351.428571428569,13785.583333333336,13521.9375,14017.714285714286,13593.923076923076,14138.571428571431,13612.0,2023-06-04,45.85020973082282,10.450047801245333,173.53028232890938,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.8086617897934048,2.46444261893339
10.491731,45.862616,Trentino-Alto Adige,2055,2023-06-06,2023,6,2023-06-02,45.86124104251588,10.490076730306626,0.39338399642378186,0.045797684952189305,-0.4008988764044944,-0.045797684952189305,0.3628734630701537,0.03799655819572608,-0.3867667320369192,-0.03799655819572608,0.06286844871431298,0.030714154090726763,0.046620787613176534,0.030714154090726763,2023-05-30,45.86124104251587,10.490076730306626,14653.0,13957.0,45.86124104251587,10.490076730306626,13445.4,13236.0,13677.866666666667,13387.071428571431,13824.0,13419.916666666664,14052.8,13425.384615384617,2023-06-04,45.85020973082282,10.450047801245333,173.53028232890938,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.8086617897934048,2.46444261893339
10.491731,45.880582,Trentino-Alto Adige,2056,2023-06-06,2023,6,2023-06-02,45.879207348198264,10.490076730306626,,,,,0.2818955957318317,0.04185599007437972,-0.3176191366815481,-0.04185599007437972,0.04941251302036919,0.017248694573928962,0.04825804161398467,0.017248694573928962,2023-05-30,45.879207348198264,10.490076730306626,14633.0,13949.0,45.879207348198264,10.490076730306626,13358.294117647061,13216.714285714286,13547.25,13307.5625,13761.875,13375.076923076924,13813.8,13481.727272727272,2023-06-04,45.85020973082282,10.450047801245333,173.53028232890938,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.8086617897934048,2.46444261893339
10.491731,45.898549,Trentino-Alto Adige,2057,2023-06-06,2023,6,2023-06-02,45.89717365388066,10.490076730306626,,,,,0.07273430894343247,0.3434441130942925,-0.09915219005452032,-0.3434441130942925,0.05892250376461047,0.10997806837063907,0.060389449740152784,0.10997806837063907,2023-05-30,45.89717365388066,10.490076730306626,14520.0,13932.0,45.89717365388066,10.490076730306626,13350.823529411766,13154.823529411766,13528.882352941177,13301.470588235294,13740.3,13382.375,13760.333333333336,13448.083333333336,2023-06-04,45.85020973082282,10.450047801245333,173.53028232890938,2023-05-30,2023-05-23,2023-05-30,2023-05-23,0.8086617897934048,2.46444261893339
