station_id,x,y,dt_placement,week,month,year,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,trap_type,anopheles maculipennis s.l.,anopheles claviger s.l.,anopheles plumbeus,anopheles hyrcanus s.l.,anopheles_total,region,dt_placement_original,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
364,12.821231,46.025438,2023-07-18,31,7,2023,IT,0,ITALY,ITH,North-east,ITH4,Friuli-Venezia-Giulia,ITH41,Pordenone,San Giorgio della Richinvelda,,CDC-CO2,1.0,,,,1.0,Italy,2023-08-02,2023-07-17,46.027429370078,12.821204892596992,0.6861350939563229,0.2890700834789361,-0.5474248426940107,-0.2890700834789361,0.5828399525937088,0.17008164188339825,-0.4906274536465967,-0.17008164188339825,0.08332344498607082,0.0786062512776681,0.04971417798263874,0.0786062512776681,2023-07-18,46.027429370078,12.821204892596992,15336.0,14623.0,46.027429370078,12.821204892596992,13949.4,13538.142857142857,14120.23076923077,13520.583333333336,14493.181818181818,13783.111111111111,14643.5,13883.454545454546,2023-07-18,46.05021064567919,12.850058779521774,1562.7126941195893,2023-07-11,2023-07-04,2023-07-11,2023-07-04,252.2979270989308,313.1807091353694
366,13.387753,46.059641,2023-07-18,31,7,2023,IT,0,ITALY,ITH,North-east,ITH4,Friuli-Venezia-Giulia,ITH42,Udine,Premariacco,,CDC-CO2,,,1.0,,1.0,Italy,2023-08-02,2023-07-17,46.05887040502218,13.387143521592336,0.4401664932362123,0.04040593873332073,-0.42057993328201176,-0.04040593873332073,0.44194202898173823,0.048401154858948206,-0.4261828303930307,-0.048401154858948206,0.042352344730820536,0.040997141673981316,0.03561443878261438,0.040997141673981316,2023-07-18,46.05887040502218,13.387143521592336,15483.0,14891.0,46.05887040502218,13.387143521592336,13958.5,13608.0,14213.727272727272,13605.4,14479.9,13801.923076923076,14612.1,13904.333333333336,2023-07-18,46.05021064567919,13.350061066662699,1948.1737836449029,2023-07-11,2023-07-04,2023-07-11,2023-07-04,161.88317491306225,198.35921329195844
346,12.084125,45.464148,2023-07-23,32,7,2023,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH35,Venezia,Mirano,,CDC-CO2,,1.0,,,1.0,Italy,2023-08-07,2023-07-22,45.465982317503254,12.08458635961892,0.4436014162873039,0.13909399321492713,-0.4072978303747535,-0.13909399321492713,0.4528084412118586,0.1402330653378736,-0.4112533164488498,-0.1402330653378736,0.06105123176458078,0.058536760393082074,0.046783196358975286,0.058536760393082074,2023-07-23,45.465982317503254,12.08458635961892,15224.0,14808.0,45.465982317503254,12.08458635961892,13995.4,13648.222222222224,14054.5,13558.846153846154,14606.75,13879.363636363636,14691.0,13999.9,2023-07-23,45.45020790111008,12.050055120096292,1183.5745648802258,2023-07-16,2023-07-09,2023-07-16,2023-07-09,178.79879446374252,189.77854273933917
386,12.587252,45.781058,2023-07-25,32,7,2023,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH34,Treviso,Motta di Livenza,,CDC-CO2,1.0,,,,1.0,Italy,2023-08-09,2023-07-25,45.78039266694511,12.587642918725894,0.4358359318781482,0.07218341393516031,-0.3989249824725402,-0.07218341393516031,0.35804403464694995,0.1705693718453328,-0.2984856174704275,-0.1705693718453328,0.041699351646048426,0.07302442205418347,0.026398471790466185,0.07302442205418347,2023-07-25,45.780392666945104,12.587642918725894,15173.0,14797.0,45.78039266694511,12.587642918725894,13975.3,13575.142857142857,14173.5,13547.066666666668,14546.090909090908,13798.375,14698.384615384617,13949.363636363636,2023-07-25,45.75020927339464,12.550057407237219,1276.2416509147442,2023-07-18,2023-07-11,2023-07-18,2023-07-11,171.47511986712925,199.34927975974279
195,10.842836,45.26645,2023-07-25,32,7,2023,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH31,Verona,Nogarole Rocca,,CDC-CO2,4.0,,,,4.0,Italy,2023-08-09,2023-07-25,45.26835295499694,10.84491126753387,0.5949708127525819,0.2263076126359399,-0.5326860841423948,-0.2263076126359399,0.5462535297405329,0.2403616415856525,-0.4933836268390001,-0.2403616415856525,0.12760378020372995,0.1297150898719122,0.08845292194984301,0.1297150898719122,2023-07-25,45.26835295499694,10.84491126753387,14935.0,14708.0,45.26835295499694,10.84491126753387,13917.25,13629.333333333336,14134.6,13579.466666666667,14615.6,13907.3,14808.428571428569,14017.444444444443,2023-07-25,45.250206986253716,10.850049630958074,856.2741951998323,2023-07-18,2023-07-11,2023-07-18,2023-07-11,159.50424176838715,173.67888684745412
321,11.000028,45.234662,2023-07-25,32,7,2023,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH31,Verona,Erbe,,CDC-CO2,4.0,,,,4.0,Italy,2023-08-09,2023-07-25,45.23242034363214,11.0021164422548,0.4939824945295405,0.2243891504147052,-0.43209229155741996,-0.2243891504147052,0.526356304143618,0.28596708725670683,-0.4459924144703141,-0.28596708725670683,0.0944038245229098,0.07903783270148433,0.07792031764515177,0.07903783270148433,2023-07-25,45.23242034363214,11.0021164422548,14964.0,14707.0,45.23242034363216,11.0021164422548,13908.454545454546,13623.625,14082.833333333336,13596.785714285714,14554.294117647061,13944.4,14716.6,14019.090909090908,2023-07-25,45.250206986253716,10.950050088386257,1056.0948014286987,2023-07-18,2023-07-11,2023-07-18,2023-07-11,250.369716032641,265.6604133003857
388,11.790342,44.975883,2023-08-01,33,8,2023,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH37,Rovigo,Guarda Veneta,,CDC-CO2,1.0,,,,1.0,Italy,2023-08-16,2023-08-01,44.97640048765806,11.78814231585945,0.5731370745170193,0.22186495176848872,-0.5102671671450651,-0.22186495176848872,0.4617765241735756,0.15507980465003784,-0.4145140757217913,-0.15507980465003784,0.10683479292996166,0.13436158061483747,0.09261125902689772,0.13436158061483747,2023-08-01,44.97640048765807,11.78814231585945,15301.0,14660.0,44.97640048765807,11.78814231585945,13938.571428571431,13688.8,14072.875,13569.133333333333,14475.5625,13881.363636363636,14672.125,13892.888888888889,2023-08-01,44.95020561396916,11.750053747811737,1533.4508037471314,2023-07-25,2023-07-18,2023-07-25,2023-07-18,10.372234526090324,100.1680071997107
365,13.117108,46.01971,2023-08-01,33,8,2023,IT,0,ITALY,ITH,North-east,ITH4,Friuli-Venezia-Giulia,ITH42,Udine,Basiliano,,CDC-CO2,,,1.0,,1.0,Italy,2023-08-16,2023-08-01,46.018446217236786,13.117648936356455,0.5639722863741341,0.1855742296918768,-0.4959134084382594,-0.1855742296918768,0.35897435897435903,0.10472348293830892,-0.3341453511977263,-0.10472348293830892,0.0,0.0,0.0,0.0,2023-08-01,46.01844621723682,13.117648936356455,15177.0,14569.0,46.018446217236814,13.117648936356456,13906.571428571431,13530.125,14116.5,13535.181818181818,14376.636363636364,13831.9,14615.636363636364,13939.833333333336,2023-08-01,46.05021064567919,13.15006015180633,2037.7350814057281,2023-07-25,2023-07-18,2023-07-25,2023-07-18,98.89550966344541,357.31826205312973
350,11.640704,45.063327,2023-08-08,34,8,2023,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH37,Rovigo,Villanova del Ghebbo,,CDC-CO2,,,2.0,,2.0,Italy,2023-08-23,2023-08-08,45.06174043964943,11.639920293979714,0.4568380213385064,0.08428081573723148,-0.4356033452807646,-0.08428081573723148,0.4591333873929861,0.1008853885611082,-0.4323447257540428,-0.1008853885611082,0.13626709463164785,0.12629126760777246,0.10544412628782326,0.12629126760777246,2023-08-08,45.06174043964944,11.639920293979714,15091.0,14487.0,45.06174043964944,11.639920293979714,13988.142857142857,13674.666666666664,14022.777777777776,13581.214285714286,14491.611111111111,13835.333333333336,14603.875,13946.769230769229,2023-08-08,45.05020607139734,11.650053290383553,1282.4926740912706,2023-08-01,2023-07-25,2023-08-01,2023-07-25,85.0888084936887,143.24113741703331
195,10.842836,45.26645,2023-08-08,34,8,2023,IT,0,ITALY,ITH,North-east,ITH3,Veneto,ITH31,Verona,Nogarole Rocca,,CDC-CO2,40.0,,,,40.0,Italy,2023-08-23,2023-08-08,45.26835295499694,10.84491126753387,0.6585365853658536,0.2734082397003745,-0.5937500000000001,-0.2734082397003745,0.5884147630738772,0.2331803662826851,-0.5270202444990322,-0.2331803662826851,0.1266705662819356,0.11866097352392398,0.09308093728063292,0.11866097352392398,2023-08-08,45.26835295499694,10.84491126753387,15109.0,14366.0,45.26835295499694,10.84491126753387,13917.25,13629.333333333336,14134.6,13579.466666666667,14615.6,13907.3,14808.428571428569,14017.444444444443,2023-08-08,45.250206986253716,10.850049630958074,992.1380449028211,2023-08-01,2023-07-25,2023-08-01,2023-07-25,126.31798948801503,135.86384970298883
