x,y,region,dt_placement,year,month,ndvi_new,ndmi_new,ndwi_new,ndbi_new,ndvi_mean_new,ndmi_mean_new,ndwi_mean_new,ndbi_mean_new,ndvi_std_new,ndmi_std_new,ndwi_std_new,ndbi_std_new,lst_day_new,lst_night_new,lst_jan_day_mean_new,lst_jan_night_mean_new,lst_feb_day_mean_new,lst_feb_night_mean_new,lst_mar_day_mean_new,lst_mar_night_mean_new,lst_apr_day_mean_new,lst_apr_night_mean_new,acc_rainfall_jan_new,acc_rainfall_1week_new,acc_rainfall_2week_new,DISTANCE_TO_COAST,DISTANCE_TO_RIVER,SLOPE_mean_1km,ASPECT_mean_200m,ELEVATION_mean_1km,HILLSHADE_mean_1km,FS_AREA_1km,FLOW_ACCU_200m,landcover
6.954925,48.884976,Alsace,2023-05-02,2023,5,0.2805391743892165,0.0562890896455871,-0.2073073868149324,-0.0562890896455871,0.2619390052022281,0.0940545979119491,-0.1785908412469368,-0.0940545979119491,0.0194043258501142,0.0416180505960062,0.0295059252324632,0.0416180505960062,14409.0,,13624.0,13351.0,13897.9,13587.833333333336,14103.166666666664,13602.5,14365.8,13773.333333333336,176.90072752094184,0.4618336791172623,5.304075547959656,620.232477644763,819.590342843364,9,105.098041080259,246.732022404887,178.667713206183,0.0325829642333984,1.00026626093572,14.0
6.954925,48.902942,Alsace,2023-05-02,2023,5,0.2857142857142857,0.0389953734302709,-0.2589428723972237,-0.0389953734302709,0.305653996720632,0.0058767725213284,-0.2785477622293296,-0.0058767725213284,0.01357620890778,0.0438809277243706,0.0242079048976104,0.0438809277243706,14439.0,13766.0,13497.0,13280.75,13910.909090909092,13586.0,14042.75,13631.0,14329.833333333336,13767.857142857143,166.8184788686799,0.1754766055382788,4.3774136872089,2438.76505448671,1531.89260787205,8,153.369602829059,249.688353843225,183.123041572623,0.0088814913940429,1.45379014012206,14.0
6.954925,48.920909,Alsace,2023-05-02,2023,5,0.4496047430830039,0.2351083982319512,-0.4146576663452266,-0.2351083982319512,0.5382578255185848,0.3189032949505261,-0.463461460635685,-0.3189032949505261,0.0512505429091638,0.0418376043865004,0.034715945138799,0.0418376043865004,14431.0,13772.0,13682.5,13277.6,13920.181818181818,13562.846153846154,14058.4,13628.8,14341.833333333336,13731.571428571431,166.8184788686799,0.1754766055382788,4.3774136872089,2971.34844471955,42.0433472564347,1,100.756629850009,223.815625266104,179.973117463467,0.0,348.372773415965,14.0
6.954925,48.938876,Alsace,2023-05-02,2023,5,0.5904218928164197,0.3661116552399609,-0.5007531740908113,-0.3661116552399609,0.5832800992333944,0.3415895208732731,-0.5003849218441413,-0.3415895208732731,0.046602630162655,0.044609337774867,0.0375117609646396,0.044609337774867,14425.0,13806.0,13636.5,13343.333333333336,13925.454545454546,13562.46153846154,14007.2,13627.166666666664,14330.0,13726.285714285714,166.8184788686799,0.1754766055382788,4.3774136872089,4403.30234856386,1371.44272007241,2,210.350396169412,233.154960957943,180.83033563068,0.0,1.02097702787437,14.0
6.981839,48.884976,Alsace,2023-05-02,2023,5,0.2861517522966995,0.1199999999999999,-0.253315649867374,-0.1199999999999999,0.143570593080297,0.0319726407274621,-0.122292014284074,-0.0319726407274621,0.0259876035349612,0.0223167982975443,0.0178665619101313,0.0223167982975443,14442.0,,13638.5,13334.2,13892.8,13581.53846153846,13970.0,13654.166666666664,14270.714285714286,13773.333333333336,176.90072752094184,0.4618336791172623,5.304075547959656,2139.22958156737,317.857839139635,3,104.515738821158,238.617769432492,181.434135266252,0.0165854965820313,1.77535804629401,14.0
6.981839,48.902942,Alsace,2023-05-02,2023,5,0.3535232383808096,-0.1138594424813506,-0.3703703703703704,0.1138594424813506,0.3274150677175139,-0.0438976498863497,-0.3069949810543834,0.0438976498863497,0.0494451966134331,0.0668467200383051,0.0825225450451077,0.0668467200383051,14448.0,13816.0,13602.0,13295.75,13885.7,13608.5,13921.0,13688.2,14226.571428571431,13779.857142857143,166.8184788686799,0.1754766055382788,4.3774136872089,3415.68162867988,1169.64619872084,2,150.786549540813,253.225997539253,178.720482341812,0.0,1.43688323541156,14.0
6.981839,48.920909,Alsace,2023-05-02,2023,5,0.5090543259557344,0.1852502194907814,-0.4531754574811626,-0.1852502194907814,0.5395587834489465,0.1745731956572167,-0.4752883391122209,-0.1745731956572167,0.0790559923308785,0.1065744365063275,0.0555964238342616,0.1065744365063275,14435.0,13779.0,13623.0,13347.333333333336,13912.090909090908,13576.0,13980.5,13641.8,14326.2,13741.285714285714,166.8184788686799,0.1754766055382788,4.3774136872089,4741.62851874578,1179.64276960299,10,240.185167582365,242.183300099295,182.105485060232,0.0,1.90519191650349,14.0
6.981839,48.938876,Alsace,2023-05-02,2023,5,0.6786703601108033,0.4119889853844525,-0.5658914728682171,-0.4119889853844525,0.584771081934436,0.3570266638933955,-0.4810043087701981,-0.3570266638933955,0.077633797740693,0.0420417264168581,0.0742953823455735,0.0420417264168581,14446.0,13804.0,13279.0,13352.428571428569,13918.727272727272,13553.285714285714,14020.6,13643.0,14325.285714285714,13742.142857142857,166.8184788686799,0.1754766055382788,4.3774136872089,5747.91520688206,79.2678551420969,0,205.044726491991,224.867396706236,180.159876148891,0.0,613.423381657198,14.0
6.981839,48.956842,Alsace,2023-05-02,2023,5,0.5595458146289939,0.3349909584086799,-0.4750249750249751,-0.3349909584086799,0.5684705332397312,0.3596299911359077,-0.4805239136958996,-0.3596299911359077,0.0563069463570292,0.0489420478920546,0.0453659707860148,0.0489420478920546,14395.0,13803.0,,13265.75,13883.666666666664,13553.666666666664,14011.0,13656.6,14374.714285714286,13756.428571428569,166.8184788686799,0.1754766055382788,4.3774136872089,5908.81454833818,510.005862253106,7,125.114112060779,226.953992684943,177.824870750796,0.0,2.89382716049383,14.0
7.008753,48.884976,Alsace,2023-05-02,2023,5,0.2454598711189221,0.0457452041318249,-0.1529284164859002,-0.0457452041318249,0.271419143314465,0.0761748902403729,-0.1771239093979383,-0.0761748902403729,0.0527745310314336,0.0910042580815354,0.0874038292611463,0.0910042580815354,14125.0,,13413.0,13280.0,13885.6,13611.923076923076,13999.75,13677.0,14208.857142857143,13766.833333333336,156.09835728787084,0.7003178652375937,4.140125738456845,1338.68021402669,1470.20681281132,4,149.308894847949,259.966375551676,181.262623710286,0.0,2.23303094273597,14.0
