x,y,region,station_id,dt_placement,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
6.954925,48.884976,Alsace,FR_AE_2383,2024-08-03,2024,8,2024-07-19,48.88407197357833,6.955206087296003,0.6647108130762783,0.32931726907630515,-0.5363589479112945,-0.32931726907630515,0.6175590330786594,0.30843262936932336,-0.4835360794761993,-0.30843262936932336,0.08811133222790246,0.02638256156185121,0.09686664597483442,0.02638256156185121,2024-07-31,48.88407197357832,6.955206087296003,14933.0,14659.0,48.88407197357832,6.955206087296003,13608.25,13472.2,14017.333333333336,13692.6,14184.222222222224,13929.0,14108.25,13762.2,2024-06-02,48.85022345366837,6.9500317912588585,685.4508809063706,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.954925,48.902942,Alsace,FR_AE_2384,2024-08-03,2024,8,2024-07-19,48.90203827926072,6.955206087296003,0.6279461279461278,0.4215361999264977,-0.4535888763622698,-0.4215361999264977,0.6356304261692909,0.336108616440013,-0.4851584592683878,-0.336108616440013,0.06506692983946198,0.0720681270810364,0.0900884727013313,0.0720681270810364,2024-07-31,48.90203827926072,6.955206087296003,14896.0,14641.0,48.90203827926072,6.955206087296003,13611.0,13431.0,13987.666666666664,13681.8,14222.142857142857,13901.375,14114.0,13757.6,2024-06-02,48.95022391109656,6.9500317912588585,658.6944609342656,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.954925,48.920909,Alsace,FR_AE_2385,2024-08-03,2024,8,2024-07-19,48.920004584943115,6.955206087296003,0.6428110896196003,0.21429706115965053,-0.5423728813559322,-0.21429706115965053,0.6328306438410787,0.19293965489814646,-0.5316921018294329,-0.19293965489814646,0.05496287808613316,0.05858051289184848,0.03689858997108628,0.05858051289184848,2024-07-31,48.920004584943115,6.955206087296003,15034.0,14593.0,48.920004584943115,6.955206087296003,13626.428571428569,13486.8,13786.0,13665.0,14241.0,13870.625,14188.0,13721.6,2024-06-02,48.95022391109656,6.9500317912588585,658.6944609342656,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.954925,48.938876,Alsace,FR_AE_2386,2024-08-03,2024,8,2024-07-19,48.93797089062551,6.955206087296003,0.5751217684526039,0.3141606752110034,-0.4217111937774771,-0.3141606752110034,0.5636292020827257,0.2623908806117896,-0.4399716209212407,-0.2623908806117896,0.107581294782271,0.09205012072476353,0.14549888738735953,0.09205012072476353,2024-07-31,48.93797089062549,6.955206087296003,14961.0,14590.0,48.93797089062549,6.955206087296003,13623.142857142857,13410.714285714286,13893.0,13703.833333333336,14239.571428571431,13840.166666666664,14308.0,13734.8,2024-06-02,48.95022391109656,6.9500317912588585,658.6944609342656,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.981839,48.884976,Alsace,FR_AE_2387,2024-08-03,2024,8,2024-07-19,48.88407197357833,6.982155545819591,0.4309045226130653,0.4696774193548388,-0.2253899946207638,-0.4696774193548388,0.5734340660584396,0.36472808018191216,-0.40611883440025504,-0.36472808018191216,0.09051889050461376,0.07693457069118212,0.11901522060030095,0.07693457069118212,2024-07-31,48.88407197357832,6.98215554581959,14935.0,14637.0,48.88407197357832,6.98215554581959,13629.111111111111,13468.333333333336,13968.0,13714.0,14179.777777777776,13914.2,14172.0,13775.6,2024-06-02,48.85022345366837,6.9500317912588585,685.4508809063706,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.981839,48.902942,Alsace,FR_AE_2388,2024-08-03,2024,8,2024-07-19,48.90203827926072,6.982155545819591,0.7278350515463917,0.34375626378031665,-0.5856196783349101,-0.34375626378031665,0.6268596702854845,0.3687415426251691,-0.4538268056054618,-0.3687415426251691,0.0,0.0,0.0,0.0,2024-07-31,48.90203827926072,6.98215554581959,14919.0,14674.0,48.90203827926072,6.98215554581959,13613.0,13434.2,13921.0,13730.2,14162.3,13918.857142857143,14144.333333333336,13772.2,2024-06-02,48.95022391109656,6.9500317912588585,658.6944609342656,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.981839,48.920909,Alsace,FR_AE_2389,2024-08-03,2024,8,2024-07-19,48.920004584943115,6.982155545819591,0.5716593584121856,0.17820069204152247,-0.4852780806979281,-0.17820069204152247,0.5628794082119597,0.19533974315981456,-0.4707877110182917,-0.19533974315981456,0.08988838355864072,0.05351522747416892,0.07301764748311376,0.05351522747416892,2024-07-31,48.920004584943115,6.98215554581959,14886.0,14621.0,48.920004584943115,6.98215554581959,13603.875,13457.0,13867.0,13720.2,14219.625,13904.428571428569,14256.2,13716.2,2024-06-02,48.95022391109656,6.9500317912588585,658.6944609342656,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.981839,48.938876,Alsace,FR_AE_2390,2024-08-03,2024,8,2024-07-19,48.93797089062551,6.982155545819591,,,,,0.6614671163575041,0.2290659597692188,-0.5549418031169856,-0.2290659597692188,0.0,0.0,0.0,0.0,2024-07-31,48.93797089062549,6.98215554581959,15024.0,14599.0,48.93797089062549,6.98215554581959,13631.142857142857,13374.833333333336,13884.5,13714.142857142857,14209.5,13867.125,14271.0,13693.333333333336,2024-06-02,48.95022391109656,6.9500317912588585,658.6944609342656,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
6.981839,48.956842,Alsace,FR_AE_2391,2024-08-03,2024,8,2024-07-19,48.9559371963079,6.982155545819591,0.3836920529801325,0.014413594295251112,-0.4090621707060064,-0.014413594295251112,0.4265789132697487,0.043477581303821865,-0.4199596456850136,-0.043477581303821865,0.11627806984093518,0.10756152391181112,0.04628689651622075,0.10756152391181112,2024-07-31,48.955937196307886,6.98215554581959,15017.0,14606.0,48.955937196307886,6.98215554581959,13626.571428571431,13451.25,13941.0,13685.0,14230.571428571431,13892.0,14302.0,13710.5,2024-06-02,48.95022391109656,6.9500317912588585,658.6944609342656,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
7.008753,48.884976,Alsace,FR_AE_2392,2024-08-03,2024,8,2024-07-19,48.88407197357833,7.009105004343178,0.7013789824060864,0.2799141477374352,-0.5814364640883978,-0.2799141477374352,0.7102876450884164,0.2855917357660239,-0.5786258452839954,-0.2855917357660239,0.018620978421749645,0.0016625445129868355,0.02267285601470576,0.0016625445129868355,2024-07-31,48.88407197357832,7.009105004343178,14920.0,14666.0,48.88407197357832,7.009105004343178,13596.625,13420.166666666664,13867.0,13778.0,14188.333333333336,13913.857142857143,14225.333333333336,13772.6,2024-06-02,48.85022345366837,7.050032248687043,655.0582265165588,2024-07-27,2024-07-20,2024-06-02,2024-06-02,0.0,0.0
