x,y,region,dt_placement,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
-4.452114,5.533246,IC,2023-08-01,2023,8,2023-07-28,5.531376361966437,-4.453398021022917,,,,,,,,,,,,,2023-08-01,5.531376361966437,-4.453398021022917,14983.0,14630.0,5.531376361966437,-4.453398021022917,14962.833333333336,14737.916666666664,14959.0,14771.9,15125.0,14744.5,15049.0,14730.5,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.452114,5.551213,IC,2023-08-01,2023,8,2023-07-28,5.549342667648829,-4.453398021022917,,,,,,,,,,,,,2023-08-01,5.549342667648828,-4.453398021022917,14990.0,14709.0,5.549342667648828,-4.453398021022917,14931.8,14730.833333333336,14950.0,14771.6,15072.666666666664,14748.5,15176.333333333336,14719.333333333336,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.434073,5.533246,IC,2023-08-01,2023,8,2023-07-28,5.531376361966437,-4.435431715340526,,,,,,,,,,,,,2023-08-01,5.531376361966437,-4.435431715340526,14981.0,14630.0,5.531376361966437,-4.435431715340526,14923.5,14730.307692307693,,14773.444444444443,15093.5,14744.666666666664,15079.0,14732.25,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.434073,5.551213,IC,2023-08-01,2023,8,2023-07-28,5.549342667648829,-4.435431715340526,,,,,,,,,,,,,2023-08-01,5.549342667648828,-4.435431715340526,14975.0,14700.0,5.549342667648828,-4.435431715340526,14949.4,14729.75,14963.0,14772.555555555557,15128.5,14743.833333333336,15282.0,14725.75,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.434073,5.56918,IC,2023-08-01,2023,8,2023-07-28,5.5673089733312215,-4.435431715340526,,,,,,,,,,,,,2023-08-01,5.5673089733312215,-4.435431715340526,15009.0,14715.0,5.5673089733312215,-4.435431715340526,15010.2,14717.083333333336,14930.5,14760.6,15132.5,14737.166666666664,15239.5,14729.333333333336,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.416031,5.51528,IC,2023-08-01,2023,8,2023-07-28,5.5134100562840445,-4.417465409658133,,,,,,,,,,,,,2023-08-01,5.5134100562840445,-4.417465409658133,15004.0,14690.0,5.5134100562840445,-4.417465409658133,14948.75,14729.0,14877.0,14777.0,15130.0,14756.0,15129.5,14740.0,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.416031,5.533246,IC,2023-08-01,2023,8,2023-07-28,5.531376361966437,-4.417465409658133,,,,,,,,,,,,,2023-08-01,5.531376361966437,-4.417465409658133,,14715.0,5.531376361966437,-4.417465409658133,14948.5,14727.692307692307,14914.5,14771.555555555557,15089.5,14756.666666666664,15080.0,14725.25,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.416031,5.551213,IC,2023-08-01,2023,8,2023-07-28,5.549342667648829,-4.417465409658133,,,,,-0.004562884037596728,0.6789714924131424,-0.01485961737806606,-0.6789714924131424,0.0009077818744952867,0.000901051399922026,0.0012733574447156405,0.000901051399922026,2023-08-01,5.549342667648828,-4.417465409658133,,14702.0,5.549342667648828,-4.417465409658133,14960.0,14733.666666666664,14945.0,14773.444444444443,15119.0,14737.666666666664,15287.0,14731.5,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.416031,5.56918,IC,2023-08-01,2023,8,2023-07-28,5.5673089733312215,-4.417465409658133,,,,,0.001430316085932814,0.7007504318911338,-0.01869511940736484,-0.7007504318911338,0.001576893281235099,0.005082818402148413,0.0024045550407769557,0.005082818402148413,2023-08-01,5.5673089733312215,-4.417465409658133,15003.0,14703.0,5.5673089733312215,-4.417465409658133,14955.0,14725.46153846154,14887.0,14752.2,15125.666666666664,14734.0,15188.5,14733.0,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.416031,5.587147,IC,2023-08-01,2023,8,2023-07-28,5.585275279013612,-4.417465409658133,,,,,,,,,,,,,2023-08-01,5.585275279013612,-4.417465409658133,15013.0,14700.0,5.585275279013612,-4.417465409658133,14990.0,14729.083333333336,14885.0,14766.3,15103.5,14742.333333333336,15156.0,14728.666666666664,2023-08-01,5.5500253872642675,-4.450020355554233,2490.1849282904313,2023-07-25,2023-07-18,2023-07-25,2023-07-18,16.591226767358748,19.04990411582199
-4.39799,5.51528,IC,2023-08-01,2023,8,2023-07-28,5.5134100562840445,-4.3994991039757405,,,,,-0.001830501131475211,0.7085465818395774,-0.018249128124766173,-0.7085465818395774,0.0013441783547257385,0.0021112662122797802,0.0005851834681071213,0.0021112662122797802,2023-08-01,5.5134100562840445,-4.3994991039757405,14980.0,14692.0,5.5134100562840445,-4.3994991039757405,14957.4,14739.76923076923,14962.0,14777.222222222224,15127.0,14760.666666666664,15068.0,14733.75,2023-08-01,5.5500253872642675,-4.350019898126047,2440.8209006323787,2023-07-25,2023-07-18,2023-07-25,2023-07-18,26.439022134735055,27.820422378774982
-4.39799,5.533246,IC,2023-08-01,2023,8,2023-07-28,5.531376361966437,-4.3994991039757405,,,,,-0.0036578669240737655,0.6562642867655096,-0.016392188170366282,-0.6562642867655096,0.0010145381252853695,0.004230175947302058,0.0005878036050662585,0.004230175947302058,2023-08-01,5.531376361966437,-4.3994991039757405,,14696.0,5.531376361966437,-4.3994991039757405,14947.25,14730.5,14965.0,14768.555555555557,15092.5,14752.333333333336,15129.0,14737.75,2023-08-01,5.5500253872642675,-4.350019898126047,2440.8209006323787,2023-07-25,2023-07-18,2023-07-25,2023-07-18,26.439022134735055,27.820422378774982
