x,y,region,dt_placement,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
-4.452114,5.533246,IC,2024-05-04,2024,5,2024-04-28,5.531376361966437,-4.453398021022917,0.6822393822393823,0.2734180914803449,-0.5675481201654974,-0.2734180914803449,0.5396418002120231,0.2382332494630625,-0.4384647170658543,-0.2382332494630625,0.12592249072768075,0.02492504442274807,0.1221966216074284,0.02492504442274807,2024-04-28,5.531376361966437,-4.453398021022917,,,5.531376361966437,-4.453398021022917,15008.2,14790.4375,15132.0,14795.25,15019.75,14740.0,15064.0,14737.0,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.452114,5.551213,IC,2024-05-04,2024,5,2024-04-28,5.549342667648829,-4.453398021022917,0.5789473684210527,0.25569176882662,-0.4841647691989237,-0.25569176882662,0.4573877244550322,0.292850399118212,-0.3452770043733868,-0.292850399118212,0.07840773009042243,0.029556645891572805,0.061436500700774076,0.029556645891572805,2024-04-28,5.549342667648828,-4.453398021022917,,,5.549342667648828,-4.453398021022917,14997.75,14782.75,15124.0,14791.666666666664,15022.0,14733.6,14980.0,14741.0,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.434073,5.533246,IC,2024-05-04,2024,5,2024-04-28,5.531376361966437,-4.435431715340526,0.5061499187746578,0.23149905123339656,-0.4219982471516213,-0.23149905123339656,0.4723731884057971,0.2716604733033444,-0.3875373452838241,-0.2716604733033444,0.0,0.0,0.0,0.0,2024-04-28,5.531376361966437,-4.435431715340526,,,5.531376361966437,-4.435431715340526,15003.4,14782.75,15045.333333333336,14794.444444444443,15090.333333333336,14733.25,15024.0,14716.666666666664,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.434073,5.551213,IC,2024-05-04,2024,5,2024-04-28,5.549342667648829,-4.435431715340526,,,,,0.4423623599148957,0.2238929365443664,-0.36354918199278896,-0.2238929365443664,0.027239181375877795,0.0133242510840406,0.021171054887285042,0.0133242510840406,2024-04-28,5.549342667648828,-4.435431715340526,,,5.549342667648828,-4.435431715340526,15000.0,14788.4375,15090.5,14789.333333333336,15070.0,14728.0,15047.0,14721.666666666664,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.434073,5.56918,IC,2024-05-04,2024,5,2024-04-28,5.5673089733312215,-4.435431715340526,0.6815154038301415,0.2741324921135647,-0.5537603385266398,-0.2741324921135647,0.6278138802394361,0.2508732064037044,-0.512521333863959,-0.2508732064037044,0.0860723802360336,0.04865911694461781,0.06613265537363029,0.04865911694461781,2024-04-28,5.5673089733312215,-4.435431715340526,,,5.5673089733312215,-4.435431715340526,15001.0,14798.266666666665,15071.0,14790.888888888889,15081.0,14716.166666666664,15004.0,14727.666666666664,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.416031,5.51528,IC,2024-05-04,2024,5,2024-04-28,5.5134100562840445,-4.417465409658133,0.5816836632673467,0.2549579565286371,-0.493862134088763,-0.2549579565286371,0.5610476221775466,0.2465396392673573,-0.4744419978397226,-0.2465396392673573,0.022680005338124386,0.02580080470348089,0.01861908740387732,0.02580080470348089,2024-04-28,5.5134100562840445,-4.417465409658133,,,5.5134100562840445,-4.417465409658133,15009.4,14802.125,15071.0,14787.25,15050.0,14752.0,,14728.0,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.416031,5.533246,IC,2024-05-04,2024,5,2024-04-28,5.531376361966437,-4.417465409658133,,,,,0.4210409745293465,0.2103376721373326,-0.35501583949313625,-0.2103376721373326,0.0,0.0,0.0,0.0,2024-04-28,5.531376361966437,-4.417465409658133,,,5.531376361966437,-4.417465409658133,14995.0,14784.125,15090.5,14785.888888888889,15082.666666666664,14729.166666666664,,14768.0,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.416031,5.551213,IC,2024-05-04,2024,5,2024-04-28,5.549342667648829,-4.417465409658133,0.4194924290893581,0.2027466570292736,-0.3633756657107743,-0.2027466570292736,0.4902928395318426,0.2128418817506508,-0.4132993432931708,-0.2128418817506508,0.044077833206033784,0.01116429430631473,0.0309220657013934,0.01116429430631473,2024-04-28,5.549342667648828,-4.417465409658133,,,5.549342667648828,-4.417465409658133,15006.2,14790.3125,15074.0,14792.444444444443,15073.666666666664,14737.833333333336,,14714.0,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.416031,5.56918,IC,2024-05-04,2024,5,2024-04-28,5.5673089733312215,-4.417465409658133,,,,,0.4661668968238312,0.20571057754704736,-0.4043839758125472,-0.20571057754704736,0.0,0.0,0.0,0.0,2024-04-28,5.5673089733312215,-4.417465409658133,,,5.5673089733312215,-4.417465409658133,15002.25,14796.2,15047.0,14788.0,15027.5,14729.2,14924.0,14736.333333333336,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
-4.416031,5.587147,IC,2024-05-04,2024,5,2024-04-28,5.585275279013612,-4.417465409658133,0.7280342879407755,0.3164143662807955,-0.5964722822174227,-0.3164143662807955,0.6439103682618941,0.2685576546151446,-0.5246358351208907,-0.2685576546151446,0.05872914345035196,0.04127835274024546,0.04612218977367929,0.04127835274024546,2024-04-28,5.585275279013612,-4.417465409658133,,,5.585275279013612,-4.417465409658133,15010.571428571431,14783.5,15148.0,14780.4,15024.5,14718.0,14879.0,14755.0,2024-04-28,5.5500253872642675,-4.450020355554233,617.719308652821,2024-04-27,2024-04-20,2024-04-27,2024-04-20,0.0,0.0
