"dt_placement_original","Location","GPS","Culex sp.","Aedes","Anopheles","Total","y","x","dt_placement","region","year","month","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_day","lst_night","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","1990_landcover","2000_landcover","2006_landcover","2012_landcover","2018_landcover","acc_rainfall_jan_new","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week_new","acc_rainfall_2week_new"
2015-06-17,"Karaula","N44 53.400 E20 38.100",,,,512,44.89,20.635,2015-06-02,"Serbia",2015,6,0.654981424304643,0.478334646799116,-0.0321678092545365,-0.478334646799116,0.579293171626684,0.324504186409115,-0.212842835819713,-0.324504186409115,0.173381953886697,0.120520092103951,0.117236289903454,0.120520092103951,15256,14560,13892.7777777778,13586.8571428571,14069.8461538462,13623.8461538462,14393.3333333333,13828.7142857143,14734,14043.7142857143,141,141,141,141,141,784.157499518612,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.15831767464988,79.6092151660705
2015-06-17,"Jabuka ","N44 56.830 E20 36.110",,,,828,44.947167,20.601833,2015-06-02,"Serbia",2015,6,0.770958921985703,0.43434073564762,-0.313073066335471,-0.43434073564762,0.61120241859543,0.254413291090528,-0.33569343256123,-0.254413291090528,0.133397432154544,0.144260467408311,0.036239829388472,0.144260467408311,15285,14619,13918.375,13570,14053.5,13634.6153846154,14416.9090909091,13825,14746.3529411765,14081.3333333333,311,311,324,324,311,741.638931398294,2015-05-26,2015-05-19,2015-05-26,2015-05-19,1.33514992520213,91.2755203796551
2015-06-17,"Glogonj","N44 59 017 E20 31.365",,,,1085,44.983617,20.52275,2015-06-02,"Serbia",2015,6,0.481115783884309,0.116631533099167,-0.359276885435477,-0.116631533099167,0.58347437174358,0.239384536807966,-0.328058581704823,-0.239384536807966,0.120872768177323,0.15840484241819,0.0507683197523976,0.15840484241819,15191,14511,13896.7777777778,13618.3333333333,14029.6428571429,13596.2,14308.4375,13800.5333333333,14792.1764705882,14015.4615384615,112,112,112,112,112,749.917955584103,2015-05-26,2015-05-19,2015-05-26,2015-05-19,1.62791485746857,97.119641973055
2015-06-17,"Ka?arevo ","N44 57.748 E20 42.773",,,,412,44.962467,20.712883,2015-06-02,"Serbia",2015,6,0.531200262715092,0.141431091339432,-0.393030210815681,-0.141431091339432,0.458437126536539,0.0912039510073786,-0.36682525884344,-0.0912039510073786,0.189988560876332,0.25390064767153,0.0669314071249701,0.25390064767153,15424,14535,13861.7777777778,13537,14051.5,13520.5454545455,14417.8333333333,13765.8333333333,14994.1538461538,13932.8461538462,112,112,112,112,112,737.69448233199,2015-05-26,2015-05-19,2015-05-26,2015-05-19,0.59918014111463,78.796960287611
2015-06-17,"Banatsko Novo Selo","N44 59.253 E20 46.888",,,,470,44.98755,20.781467,2015-06-02,"Serbia",2015,6,,,,,0.4760279941666,0.110107287987314,-0.352132415145633,-0.110107287987314,0.0469277028597468,0.0333516870608695,0.0174759443473709,0.0333516870608695,15471,14566,13848.4444444444,13533.375,14038.2857142857,13549.6,14441.7692307692,13756.9285714286,15058.6923076923,13980.3076923077,112,112,112,112,112,737.69448233199,2015-05-26,2015-05-19,2015-05-26,2015-05-19,0.59918014111463,78.796960287611
2015-06-17,"Pan?evo Nadel","N44 53.741 E20 40.850",,,,1323,44.895683,20.680833,2015-06-02,"Serbia",2015,6,,,,,,,,,,,,,15360,14471,13860,13480,14060.9333333333,13493.5454545455,14482.6,13751.1538461538,15007.1666666667,13933.3571428571,211,211,211,211,211,784.157499518612,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.15831767464988,79.6092151660705
2015-06-17,"SC na Misi","N44 52.860 E20 39.614",,,,82,44.881,20.660233,2015-06-02,"Serbia",2015,6,0.472564526601761,0.166864687930768,-0.303322498537223,-0.166864687930768,0.541427214036876,0.242974837106025,-0.294550908729867,-0.242974837106025,0.0859341319289776,0.0986748981650899,0.0305036769188085,0.0986748981650899,15431,14596,13918,13495.875,14063.7142857143,13586.4166666667,14464.3,13830.25,14814.0625,14065.1538461538,112,112,112,112,112,784.157499518612,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.15831767464988,79.6092151660705
2015-06-17,"Brodoremont","N44 51.390 E20 38.367",,,,210,44.8565,20.63945,2015-06-02,"Serbia",2015,6,,,,,0.530620650038075,0.394834939024118,-0.0120889522823399,-0.394834939024118,0.019014540772372,0.0939077331358935,0.177089943877739,0.0939077331358935,14961,14500,13792.3,13429.6153846154,13982.3076923077,13577.4,14249.6666666667,13767.3125,14534.75,14049.0666666667,141,141,141,141,141,784.157499518612,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.15831767464988,79.6092151660705
2015-06-17,"Bolnica","N44 52.040 E20 39.165",,,,15,44.867333,20.65275,2015-06-02,"Serbia",2015,6,0.410887848089684,0.304772721116494,-0.0184049104850463,-0.304772721116494,0.392974508506905,0.165076482311098,-0.211041138874784,-0.165076482311098,0.0256820890488929,0.0813106345416479,0.1143515811979,0.0813106345416479,15457,14624,13899.1111111111,13487.6666666667,14053,13523.4285714286,14475,13826.2142857143,14867.4285714286,14056.0833333333,112,112,112,112,112,784.157499518612,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.15831767464988,79.6092151660705
2015-06-17,"Fabrika stakla","N44 51.385 E20 39.450",,,,680,44.856417,20.6575,2015-06-02,"Serbia",2015,6,,,,,,,,,,,,,15296,14522,13861.8888888889,13415.1,14029.5384615385,13511.625,14381.4545454545,13723.9333333333,14690.75,13978.7857142857,121,121,121,121,121,784.157499518612,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.15831767464988,79.6092151660705
2015-06-17,"Vojlovica","N44 50.670 E20 40.240",,,,77,44.8445,20.670667,2015-06-02,"Serbia",2015,6,0.52142654432366,0.182617002537529,-0.341782868246927,-0.182617002537529,0.51933233056057,0.180222202904844,-0.342021131759314,-0.180222202904844,0.0020942137630908,0.0023947996326856,0.0002382635123865,0.0023947996326856,15310,14519,13870.4444444444,13447.3333333333,14073.7692307692,13532.2,14350.9166666667,13777.0769230769,14782.1333333333,14014.6666666667,112,112,112,112,112,784.157499518612,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.15831767464988,79.6092151660705
2015-06-17,"Star?evo","N44 48,375 E20 42.362",,,,267,44.80625,20.706033,2015-06-02,"Serbia",2015,6,,,,,0.507114629577427,0.22690125932444,-0.259466208407913,-0.22690125932444,0.0409405190178612,0.0582899913693225,0.0422857582740758,0.0582899913693225,15422,14496,13850.8888888889,13526.4285714286,14089.1333333333,13524.75,14542.875,13774.5,14927.4,13966.3333333333,112,112,112,112,112,768.59315661071,2015-05-26,2015-05-19,2015-05-26,2015-05-19,2.34199373086449,84.1511131775333
2015-06-17,"Omoljica","N44 45.190 E20 44.360",,,,116,44.753167,20.739333,2015-06-02,"Serbia",2015,6,,,,,,,,,,,,,15384,14506,13887.4285714286,13415.125,14039.875,13541.1666666667,14513.2222222222,13717.3333333333,14885.9230769231,13974.4444444444,112,112,112,112,112,774.91021741757,2015-05-26,2015-05-19,2015-05-26,2015-05-19,0.528136052656919,89.2413201539312
