"no","station_id","y","x","street","common name","dt_placement","culex.spp","region","dt_placement_original","year","month","indices_image_date","indices_lat","indices_lon","ndvi","ndmi","ndwi","ndbi","ndvi_mean","ndmi_mean","ndwi_mean","ndbi_mean","ndvi_std","ndmi_std","ndwi_std","ndbi_std","lst_image_date","lst_lat","lst_lon","lst_day","lst_night","monthly_lst_lat","monthly_lst_lon","lst_jan_day_mean","lst_jan_night_mean","lst_feb_day_mean","lst_feb_night_mean","lst_mar_day_mean","lst_mar_night_mean","lst_apr_day_mean","lst_apr_night_mean","indices_image_date","indices_lat","indices_lon","acc_rainfall_jan","dt_placement_minus_7","dt_placement_minus_14","dt_placement_minus_7_avail","dt_placement_minus_14_avail","acc_rainfall_1week","acc_rainfall_2week"
1,"Starcevo",44.81098,20.69478,"Zarka Zrenjanina 57","Acina Kuca",2023-07-26,7,"Vojvodina",2023-07-11,2023,7,2023-07-25,44.8102121600959,20.6949383579053,0.475938803894298,0.0743065397853817,-0.438330170777989,-0.0743065397853817,0.294261910437697,0.161522383595063,-0.244885962496652,-0.161522383595063,0.0259572995376399,0.0416341513533245,0.00914895566200056,0.0416341513533245,2023-07-11,44.8102121600959,20.6949383579053,15323,14772,44.8102121600959,20.6949383579053,14163.8333333333,13707.1666666667,14011.3333333333,13522.9090909091,14472.3846153846,13803.3,14716.7,13988.4666666667,2023-07-26,44.850205156541,20.6500944589202,337.733448139566,2023-07-19,2023-07-12,2023-07-19,2023-07-12,23.2680474515073,98.2601576184388
2,"Starcevo",44.804737,20.691096,"Bastenska 58-64","Ergela",2023-07-26,772,"Vojvodina",2023-07-11,2023,7,2023-07-25,44.8057205836754,20.6904467814847,0.353887399463807,0.101760947483248,-0.348721861884777,-0.101760947483248,0.314012872699552,0.164510754556664,-0.272916968281134,-0.164510754556664,0.0500864551294439,0.0470271847015424,0.0334147275625172,0.0470271847015424,2023-07-11,44.8057205836754,20.6904467814847,15347,14745,44.8057205836754,20.6904467814847,14160.6666666667,13691.1666666667,14031.3846153846,13515.7272727273,14418.3846153846,13804,14715.5,13971.9333333333,2023-07-26,44.850205156541,20.6500944589202,337.733448139566,2023-07-19,2023-07-12,2023-07-19,2023-07-12,23.2680474515073,98.2601576184388
3,"Pancevo",44.867029,20.653822,"Pasterova 2","Opsta Bolnica",2023-07-26,1068,"Vojvodina",2023-07-11,2023,7,2023-07-25,44.8686026535637,20.6545141701199,0.361083249749248,0.0797692460712155,-0.330718313312086,-0.0797692460712155,0.345227354313527,0.0684160226340344,-0.320272747482759,-0.0684160226340344,0.059383972315656,0.0545215534717156,0.0415313381095406,0.0545215534717156,2023-07-11,44.8686026535637,20.6545141701199,15408,14871,44.8686026535637,20.6545141701199,14161.8333333333,13724.6666666667,14007.0666666667,13606.4,14432.6153846154,13863.75,14724.6363636364,14081.6153846154,2023-07-26,44.850205156541,20.6500944589202,337.733448139566,2023-07-19,2023-07-12,2023-07-19,2023-07-12,23.2680474515073,98.2601576184388
4,"Jabuka",44.947624,20.585016,"Tamiska","Mesto",2023-07-26,202,"Vojvodina",2023-07-11,2023,7,2023-07-25,44.9494510291345,20.5871405238109,0.413997042878265,0.0828458199660312,-0.377671068427371,-0.0828458199660312,0.489644108448493,0.178397553571441,-0.429404582594493,-0.178397553571441,0.0681831553796723,0.0886006822214939,0.0458144035422146,0.0886006822214939,2023-07-11,44.9494510291345,20.5871405238109,15202,14813,44.9494510291345,20.5871405238109,14144.8,13736.4,13980.0769230769,13537.5555555556,14398,13863.9,14664.0909090909,14034.7777777778,2023-07-26,44.9502056139692,20.550094001492,424.741234372319,2023-07-19,2023-07-12,2023-07-19,2023-07-12,31.8558766496135,121.505501915817
5,"Jabuka",44.946417,20.606634,"Ribarska 147","Ergela",2023-07-26,924,"Vojvodina",2023-07-11,2023,7,2023-07-25,44.9449594527139,20.6051068294933,0.617061611374407,0.328919182083739,-0.516107531659631,-0.328919182083739,0.52867806038482,0.224203745976093,-0.452248522645952,-0.224203745976093,0.086871400184434,0.1094033847149,0.0573670692960433,0.1094033847149,2023-07-11,44.9449594527139,20.6051068294933,15237,14779,44.9449594527139,20.6051068294933,14124.5,13744.2,13966.0769230769,13549,14403.3846153846,13864.4,14673.4444444444,14045.7272727273,2023-07-26,44.9502056139692,20.6500944589202,376.938113940883,2023-07-19,2023-07-12,2023-07-19,2023-07-12,29.1351065057097,113.232855963171
6,"Glogonj",44.991909,20.514506,"Utrnska","Ulaz",2023-07-26,204,"Vojvodina",2023-07-11,2023,7,2023-07-25,44.9898752169199,20.5152753010814,0.48287841191067,0.156570543835882,-0.419477434679335,-0.156570543835882,0.496629100670935,0.182835912915782,-0.427510910757007,-0.182835912915782,0.0790030656435106,0.091738582050968,0.0515034770550083,0.091738582050968,2023-07-11,44.9898752169199,20.5152753010814,15229,14795,44.9898752169199,20.5152753010814,14084.2857142857,13742,13966.3333333333,13572,14396.25,13855.5,14644.7777777778,14070.7,2023-07-26,44.9502056139692,20.550094001492,424.741234372319,2023-07-19,2023-07-12,2023-07-19,2023-07-12,31.8558766496135,121.505501915817
7,"Sefkerin",45.00674,20.47046,"Partizanska","Ulaz",2023-07-26,172,"Vojvodina",2023-07-11,2023,7,2023-07-25,45.0078415226023,20.4703595368754,0.455639097744361,0.137931034482759,-0.395482940893801,-0.137931034482759,0.518152539417677,0.194506110051686,-0.443858510677088,-0.194506110051686,0.0569141682797219,0.0598243041675569,0.0402099766584777,0.0598243041675569,2023-07-11,45.0078415226023,20.4703595368754,15213,14776,45.0078415226023,20.4703595368754,14072.25,13728.6666666667,13983.7142857143,13537.6,14451,13842,14676.3,14019.4166666667,2023-07-26,45.0502060713973,20.4500935440638,396.81280865585,2023-07-19,2023-07-12,2023-07-19,2023-07-12,34.2144277901389,151.075975340791
8,"Sefkerin",45.000675,20.494024,"Zarka Zrenjanina ","Cicvaric Mesara",2023-07-26,408,"Vojvodina",2023-07-11,2023,7,2023-07-25,44.998858369761,20.4928174189784,0.604329222250189,0.339357007774743,-0.50543221539915,-0.339357007774743,0.535265944790262,0.232639484149613,-0.45812104645896,-0.232639484149613,0.0724534186110155,0.10227558522598,0.0482392755151409,0.10227558522598,2023-07-11,44.9988583697611,20.4928174189784,15171,14791,44.9988583697611,20.4928174189784,14088.625,13712,13957.0769230769,13553.2222222222,14494.6,13843,14702.7777777778,14099.4,2023-07-26,45.0502060713973,20.4500935440638,396.81280865585,2023-07-19,2023-07-12,2023-07-19,2023-07-12,34.2144277901389,151.075975340791
9,"Opovo",45.053365,20.41783,"Tamiska","Tamiska",2023-07-26,148,"Vojvodina",2023-07-11,2023,7,2023-07-25,45.0527572868082,20.4164606198282,0.431964885101988,0.137874435781699,-0.375496031746032,-0.137874435781699,0.510690042356654,0.201202412748272,-0.43636704365725,-0.201202412748272,0.0649880972886131,0.0824442890972929,0.0480023216453417,0.0824442890972929,2023-07-11,45.0527572868082,20.4164606198282,15244,14771,45.0527572868082,20.4164606198282,14112.8,13721.6666666667,13944.7142857143,13546.8333333333,14403.0769230769,13828.2222222222,14658.75,13992.6923076923,2023-07-26,45.0502060713973,20.4500935440638,396.81280865585,2023-07-19,2023-07-12,2023-07-19,2023-07-12,34.2144277901389,151.075975340791
10,"Opovo",45.045172,20.430594,"Slatinska","Izlaz",2023-07-26,432,"Vojvodina",2023-07-11,2023,7,2023-07-25,45.043774133967,20.42993534909,0.515471336051811,0.196137826580841,-0.443454420836189,-0.196137826580841,0.52219612006375,0.204113916282679,-0.451313186994322,-0.204113916282679,0.0759429141709119,0.0902528805657838,0.0543781698261973,0.0902528805657838,2023-07-11,45.043774133967,20.42993534909,15278,14767,45.043774133967,20.42993534909,14116.6,13756,13931.9285714286,13540.6666666667,14409.5384615385,13803.6666666667,14681.9090909091,14006.9166666667,2023-07-26,45.0502060713973,20.4500935440638,396.81280865585,2023-07-19,2023-07-12,2023-07-19,2023-07-12,34.2144277901389,151.075975340791
