x,y,region,station_id
18.979384855064172,45.36241575408342,Južno-Bački,SR_CU_0
18.979384855064172,45.38038244568365,Južno-Bački,SR_CU_1
18.979384855064172,45.39834913728386,Južno-Bački,SR_CU_2
18.979384855064172,45.416315828884066,Južno-Bački,SR_CU_3
18.979384855064172,45.4522492120845,Južno-Bački,SR_CU_4
18.979384855064172,45.47021590368472,Južno-Bački,SR_CU_5
18.979384855064172,45.48818259528493,Južno-Bački,SR_CU_6
18.979384855064172,45.50614928688514,Južno-Bački,SR_CU_7
19.004846917487445,45.36241575408342,Južno-Bački,SR_CU_8
19.004846917487445,45.38038244568365,Južno-Bački,SR_CU_9
19.004846917487445,45.39834913728386,Južno-Bački,SR_CU_10
19.004846917487445,45.416315828884066,Južno-Bački,SR_CU_11
19.004846917487445,45.43428252048429,Južno-Bački,SR_CU_12
19.004846917487445,45.4522492120845,Južno-Bački,SR_CU_13
19.004846917487445,45.47021590368472,Južno-Bački,SR_CU_14
19.004846917487445,45.48818259528493,Južno-Bački,SR_CU_15
19.004846917487445,45.50614928688514,Južno-Bački,SR_CU_16
19.030308979910718,45.36241575408342,Južno-Bački,SR_CU_17
19.030308979910718,45.38038244568365,Južno-Bački,SR_CU_18
19.030308979910718,45.39834913728386,Južno-Bački,SR_CU_19
19.030308979910718,45.416315828884066,Južno-Bački,SR_CU_20
19.030308979910718,45.43428252048429,Južno-Bački,SR_CU_21
19.030308979910718,45.4522492120845,Južno-Bački,SR_CU_22
19.030308979910718,45.47021590368472,Južno-Bački,SR_CU_23
19.030308979910718,45.48818259528493,Južno-Bački,SR_CU_24
19.055771042333998,45.344449062483214,Južno-Bački,SR_CU_25
19.055771042333998,45.36241575408342,Južno-Bački,SR_CU_26
19.055771042333998,45.38038244568365,Južno-Bački,SR_CU_27
19.055771042333998,45.39834913728386,Južno-Bački,SR_CU_28
19.055771042333998,45.416315828884066,Južno-Bački,SR_CU_29
19.055771042333998,45.43428252048429,Južno-Bački,SR_CU_30
19.055771042333998,45.4522492120845,Južno-Bački,SR_CU_31
19.055771042333998,45.47021590368472,Južno-Bački,SR_CU_32
19.055771042333998,45.48818259528493,Južno-Bački,SR_CU_33
19.081233104757267,45.30851567928278,Južno-Bački,SR_CU_34
19.081233104757267,45.326482370883,Južno-Bački,SR_CU_35
19.081233104757267,45.344449062483214,Južno-Bački,SR_CU_36
19.081233104757267,45.36241575408342,Južno-Bački,SR_CU_37
19.081233104757267,45.38038244568365,Južno-Bački,SR_CU_38
19.081233104757267,45.39834913728386,Južno-Bački,SR_CU_39
19.081233104757267,45.416315828884066,Južno-Bački,SR_CU_40
19.081233104757267,45.43428252048429,Južno-Bački,SR_CU_41
19.081233104757267,45.4522492120845,Južno-Bački,SR_CU_42
19.081233104757267,45.47021590368472,Južno-Bački,SR_CU_43
19.081233104757267,45.48818259528493,Južno-Bački,SR_CU_44
19.10669516718054,45.29054898768256,Južno-Bački,SR_CU_45
19.10669516718054,45.30851567928278,Južno-Bački,SR_CU_46
19.10669516718054,45.326482370883,Južno-Bački,SR_CU_47
19.10669516718054,45.344449062483214,Južno-Bački,SR_CU_48
19.10669516718054,45.36241575408342,Južno-Bački,SR_CU_49
19.10669516718054,45.38038244568365,Južno-Bački,SR_CU_50
19.10669516718054,45.39834913728386,Južno-Bački,SR_CU_51
19.10669516718054,45.416315828884066,Južno-Bački,SR_CU_52
19.10669516718054,45.43428252048429,Južno-Bački,SR_CU_53
19.10669516718054,45.4522492120845,Južno-Bački,SR_CU_54
19.10669516718054,45.47021590368472,Južno-Bački,SR_CU_55
19.132157229603813,45.29054898768256,Južno-Bački,SR_CU_56
19.132157229603813,45.30851567928278,Južno-Bački,SR_CU_57
19.132157229603813,45.326482370883,Južno-Bački,SR_CU_58
19.132157229603813,45.344449062483214,Južno-Bački,SR_CU_59
19.132157229603813,45.36241575408342,Južno-Bački,SR_CU_60
19.132157229603813,45.38038244568365,Južno-Bački,SR_CU_61
19.132157229603813,45.39834913728386,Južno-Bački,SR_CU_62
19.132157229603813,45.416315828884066,Južno-Bački,SR_CU_63
19.132157229603813,45.43428252048429,Južno-Bački,SR_CU_64
19.132157229603813,45.4522492120845,Južno-Bački,SR_CU_65
19.15761929202709,45.272582296082355,Južno-Bački,SR_CU_66
19.15761929202709,45.29054898768256,Južno-Bački,SR_CU_67
19.15761929202709,45.30851567928278,Južno-Bački,SR_CU_68
19.15761929202709,45.326482370883,Južno-Bački,SR_CU_69
19.15761929202709,45.344449062483214,Južno-Bački,SR_CU_70
19.15761929202709,45.36241575408342,Južno-Bački,SR_CU_71
19.15761929202709,45.38038244568365,Južno-Bački,SR_CU_72
19.15761929202709,45.39834913728386,Južno-Bački,SR_CU_73
19.15761929202709,45.416315828884066,Južno-Bački,SR_CU_74
19.15761929202709,45.43428252048429,Južno-Bački,SR_CU_75
19.15761929202709,45.4522492120845,Južno-Bački,SR_CU_76
19.15761929202709,45.47021590368472,Južno-Bački,SR_CU_77
19.18308135445036,45.272582296082355,Južno-Bački,SR_CU_78
19.18308135445036,45.29054898768256,Južno-Bački,SR_CU_79
19.18308135445036,45.30851567928278,Južno-Bački,SR_CU_80
19.18308135445036,45.326482370883,Južno-Bački,SR_CU_81
19.18308135445036,45.344449062483214,Južno-Bački,SR_CU_82
19.18308135445036,45.36241575408342,Južno-Bački,SR_CU_83
19.18308135445036,45.38038244568365,Južno-Bački,SR_CU_84
19.18308135445036,45.39834913728386,Južno-Bački,SR_CU_85
19.18308135445036,45.416315828884066,Južno-Bački,SR_CU_86
