"x","y","region"
-4.45211443125889,5.53324647800378,"IC"
-4.45211443125889,5.551213169604,"IC"
-4.43407294977675,5.53324647800378,"IC"
-4.43407294977675,5.551213169604,"IC"
-4.43407294977675,5.56917986120421,"IC"
-4.41603146829461,5.51527978640357,"IC"
-4.41603146829461,5.53324647800378,"IC"
-4.41603146829461,5.551213169604,"IC"
-4.41603146829461,5.56917986120421,"IC"
-4.41603146829461,5.58714655280443,"IC"
-4.39798998681247,5.51527978640357,"IC"
-4.39798998681247,5.53324647800378,"IC"
-4.39798998681247,5.551213169604,"IC"
-4.39798998681247,5.56917986120421,"IC"
-4.39798998681247,5.58714655280443,"IC"
-4.39798998681247,5.60511324440464,"IC"
-4.37994850533033,5.51527978640357,"IC"
-4.37994850533033,5.53324647800378,"IC"
-4.37994850533033,5.551213169604,"IC"
-4.37994850533033,5.56917986120421,"IC"
-4.37994850533033,5.58714655280443,"IC"
-4.37994850533033,5.60511324440464,"IC"
-4.36190702384819,5.51527978640357,"IC"
-4.36190702384819,5.53324647800378,"IC"
-4.36190702384819,5.551213169604,"IC"
-4.36190702384819,5.56917986120421,"IC"
-4.36190702384819,5.58714655280443,"IC"
-4.34386554236605,5.49731309480336,"IC"
-4.34386554236605,5.51527978640357,"IC"
-4.34386554236605,5.53324647800378,"IC"
-4.34386554236605,5.551213169604,"IC"
-4.34386554236605,5.56917986120421,"IC"
-4.34386554236605,5.58714655280443,"IC"
-4.32582406088391,5.40747963680229,"IC"
-4.32582406088391,5.49731309480336,"IC"
-4.32582406088391,5.51527978640357,"IC"
-4.32582406088391,5.53324647800378,"IC"
-4.32582406088391,5.551213169604,"IC"
-4.32582406088391,5.56917986120421,"IC"
-4.32582406088391,5.58714655280443,"IC"
-4.30778257940177,5.33561287040143,"IC"
-4.30778257940177,5.35357956200165,"IC"
-4.30778257940177,5.37154625360186,"IC"
-4.30778257940177,5.38951294520207,"IC"
-4.30778257940177,5.40747963680229,"IC"
-4.30778257940177,5.4254463284025,"IC"
-4.30778257940177,5.46137971160293,"IC"
-4.30778257940177,5.47934640320314,"IC"
-4.30778257940177,5.49731309480336,"IC"
-4.30778257940177,5.51527978640357,"IC"
-4.30778257940177,5.53324647800378,"IC"
-4.30778257940177,5.551213169604,"IC"
-4.30778257940177,5.56917986120421,"IC"
-4.30778257940177,5.58714655280443,"IC"
-4.28974109791963,5.28171279560079,"IC"
-4.28974109791963,5.299679487201,"IC"
-4.28974109791963,5.31764617880122,"IC"
