x,y,region,station_id,nuts2_name,dt_placement,year,month,indices_image_date,indices_lat,indices_lon,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_image_date,lst_lat,lst_lon,lst_day,lst_night,monthly_lst_lat,monthly_lst_lon,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,indices_image_date,indices_lat,indices_lon,acc_rainfall_jan,dt_placement_minus_7,dt_placement_minus_14,dt_placement_minus_7_avail,dt_placement_minus_14_avail,acc_rainfall_1week,acc_rainfall_2week
21.131977,39.66143,THESSALY,GR_10932,THESSALY,2023-09-10,2023,9,2023-09-10,39.66286558209063,21.13062127070329,0.2751730959446093,-0.051500882872277776,-0.31042894897336865,0.051500882872277776,0.2725314649821161,-0.07384102956479077,-0.3092404400785205,0.07384102956479077,0.04183975858612106,0.03561015238597496,0.04384819003244463,0.03561015238597496,2023-09-10,39.66286558209063,21.13062127070329,14547.0,14052.0,39.66286558209063,21.13062127070329,13790.785714285714,13385.53846153846,13508.133333333333,13195.0,13767.083333333336,13491.888888888889,13930.333333333336,13524.8,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.131977,39.679397,THESSALY,GR_10933,THESSALY,2023-09-10,2023,9,2023-09-10,39.680831887773024,21.13062127070329,0.2607944732297064,-0.11528556279351612,-0.31354026090868203,0.11528556279351612,0.26887680789137985,-0.0860484261879816,-0.3142067108081704,0.0860484261879816,0.03639437094481563,0.037553721082992784,0.036321642872927336,0.037553721082992784,2023-09-10,39.680831887773024,21.13062127070329,14554.0,14050.0,39.680831887773024,21.13062127070329,13757.5,13390.133333333333,13552.785714285714,13237.888888888889,13756.454545454546,13435.555555555557,13844.0,13542.181818181818,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.131977,39.697363,THESSALY,GR_10934,THESSALY,2023-09-10,2023,9,2023-09-10,39.69879819345542,21.13062127070329,0.25402061855670105,-0.11250547205603384,-0.2921181219460379,0.11250547205603384,0.2961635471645472,-0.055334270123758494,-0.3307716225566132,0.055334270123758494,0.038307290800236635,0.05345320976814474,0.039110669340815474,0.05345320976814474,2023-09-10,39.69879819345542,21.13062127070329,14493.0,14078.0,39.69879819345542,21.13062127070329,13570.052631578948,13443.230769230771,13515.8,13393.0,13755.222222222224,13542.111111111111,13908.6,13594.888888888889,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.155086,39.60753,THESSALY,GR_10935,THESSALY,2023-09-10,2023,9,2023-09-10,39.608966665043454,21.15307915280628,0.2805280528052805,-0.10830221200804367,-0.3307609860664523,0.10830221200804367,0.3251199245567953,-0.06298911692286989,-0.3548945982313871,0.06298911692286989,0.053973961652520636,0.04370831427678862,0.03176662416886958,0.04370831427678862,2023-09-10,39.60896666504346,21.15307915280628,14759.0,14158.0,39.60896666504346,21.15307915280628,13930.857142857143,13532.181818181818,13602.1875,13570.8,14186.285714285714,13601.5,14441.833333333336,13706.0,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.155086,39.625496,THESSALY,GR_10936,THESSALY,2023-09-10,2023,9,2023-09-10,39.62693297072585,21.15307915280628,0.2852213916043703,-0.007107952021323873,-0.3112349662657671,0.007107952021323873,0.3389823564760763,-0.034699806509443355,-0.3598236863427484,0.034699806509443355,0.027894155684672392,0.034265047178642816,0.021158547137076628,0.034265047178642816,2023-09-10,39.62693297072585,21.15307915280628,14655.0,14123.0,39.62693297072585,21.15307915280628,13843.615384615383,13478.916666666664,13584.4375,13675.0,13834.5,13618.4,13907.0,13712.6,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.155086,39.643463,THESSALY,GR_10937,THESSALY,2023-09-10,2023,9,2023-09-10,39.644899276408246,21.15307915280628,0.3346855983772819,-0.02680717322980221,-0.3762091503267973,0.02680717322980221,0.3161513797795196,-0.05392789284042606,-0.3419383128611405,0.05392789284042606,0.02346874992928992,0.028474371143600883,0.02729384687945075,0.028474371143600883,2023-09-10,39.644899276408246,21.15307915280628,14647.0,14122.0,39.644899276408246,21.15307915280628,13858.75,13512.6,13591.2,13661.0,13940.6,13611.285714285714,14119.333333333336,13672.285714285714,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.155086,39.66143,THESSALY,GR_10938,THESSALY,2023-09-10,2023,9,2023-09-10,39.66286558209063,21.15307915280628,0.4112394957983193,0.013388647935131049,-0.4053347280334727,-0.013388647935131049,0.3763296948818775,-0.02382279490594058,-0.37136464745384495,0.02382279490594058,0.09850968733726287,0.10681513841689504,0.05977100586233906,0.10681513841689504,2023-09-10,39.66286558209063,21.15307915280628,14612.0,14153.0,39.66286558209063,21.15307915280628,13757.5,13514.888888888889,13530.0,13700.0,13792.454545454546,13822.25,13834.25,13684.2,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.155086,39.679397,THESSALY,GR_10939,THESSALY,2023-09-10,2023,9,2023-09-10,39.680831887773024,21.15307915280628,0.6999477260846837,0.3572621035058431,-0.5988200589970502,-0.3572621035058431,0.5126595132793912,0.1355558065031189,-0.478346604188638,-0.1355558065031189,0.16087040269872885,0.1859579311401713,0.09786303801259497,0.1859579311401713,2023-09-10,39.680831887773024,21.15307915280628,14716.0,14161.0,39.680831887773024,21.15307915280628,14010.818181818182,13613.875,13666.0,13683.0,13815.888888888889,13773.333333333336,14111.666666666664,13743.428571428569,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.155086,39.697363,THESSALY,GR_10940,THESSALY,2023-09-10,2023,9,2023-09-10,39.69879819345542,21.15307915280628,0.3849154746423927,0.06766917293233088,-0.3733075435203095,-0.06766917293233088,0.3939145972149372,0.042707675421855364,-0.3932896068076839,-0.042707675421855364,0.043610757104781406,0.059845653782897586,0.026116328984196472,0.059845653782897586,2023-09-10,39.69879819345542,21.15307915280628,14660.0,14135.0,39.69879819345542,21.15307915280628,13905.916666666664,13550.666666666664,13584.571428571431,13696.0,13840.545454545454,13784.0,14052.666666666664,13694.0,2023-09-10,39.65018137027535,21.150096746061127,1245.6048119568914,2023-09-03,2023-08-27,2023-09-03,2023-08-27,157.78879374219105,191.94871436385438
21.155086,39.71533,THESSALY,GR_10941,THESSALY,2023-09-10,2023,9,2023-09-10,39.71676449913781,21.15307915280628,0.4115815691158157,0.008676307007786462,-0.3685481436764262,-0.008676307007786462,0.4906417501708814,0.1655043162989408,-0.4145829882682052,-0.1655043162989408,0.16421327551458448,0.17579558119367394,0.10801418466344972,0.17579558119367394,2023-09-10,39.71676449913781,21.15307915280628,14615.0,14368.0,39.71676449913781,21.15307915280628,13740.529411764706,13611.611111111111,13716.625,13559.1,14146.416666666664,13653.454545454546,14272.666666666664,13823.4,2023-09-10,39.750181827703535,21.150096746061127,1021.3767914157168,2023-09-03,2023-08-27,2023-09-03,2023-08-27,170.53809512977023,203.79825080756564
