x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-3.969491,5.346276,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.969211,5.346168,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.970636,5.345487,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.970242,5.347478,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.969831,5.34434,2022-11-07,11,2022,Ivory Coast,,,,,0.149752832521319,-0.0525143890458342,-0.145105259402388,0.0525143890458342,0.105642875789806,0.0769601776327271,0.0752293114240285,0.0769601776327271,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.970412,5.346401,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-4.002458,5.301685,2022-11-07,11,2022,Ivory Coast,-0.025146400275577,-0.114795120425399,0.0271570986593331,0.114795120425399,0.0261412712054005,-0.103928649367955,-0.0291997531699671,0.103928649367955,0.0639566142163762,0.0405771490212912,0.0570888092432152,0.0405771490212912,,14850,15275.5555555556,15354.5,15572,15567,74.2,99.9,1624.2
-3.96987,5.345859,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.969173,5.344811,2022-11-07,11,2022,Ivory Coast,,,,,0.149752832521319,-0.0525143890458342,-0.145105259402388,0.0525143890458342,0.105642875789806,0.0769601776327271,0.0752293114240285,0.0769601776327271,,14821,15316,15366,15506,,79.4,102.9,1628.8
-3.058417,5.283778,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14671,15006.2857142857,,15186.5,15209,95.2,139.1,1441.2
-3.049389,5.282611,2022-11-07,11,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,,15215.5,15269,95.2,139.1,1441.2
