x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean_new,lst_mar_day_mean,lst_mar_night_mean_new,lst_apr_day_mean,lst_apr_night_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-4.002558,5.302408,2023-02-05,2,2023,Ivory Coast,0.0251775338928341,-0.213666749195345,-0.0586666666666666,0.213666749195345,0.0462744091003589,-0.173766417352894,-0.0666808817658961,0.173766417352894,0.0611115302955735,0.0436177253296662,0.0542124659781843,0.0436177253296662,15463,14904,15300.25,14867.875,15203.5,14883,,,,,81.6,116.4,123.2
-4.002063,5.303105,2023-02-05,2,2023,Ivory Coast,0.0251775338928341,-0.213666749195345,-0.0586666666666666,0.213666749195345,0.0462744091003589,-0.173766417352894,-0.0666808817658961,0.173766417352894,0.0611115302955735,0.0436177253296662,0.0542124659781843,0.0436177253296662,15463,14904,15300.25,14867.875,15203.5,14883,,,,,81.6,116.4,123.2
-4.001441,5.303794,2023-02-05,2,2023,Ivory Coast,0.0396732788798133,-0.204641821022093,-0.0889092575618698,0.204641821022093,0.0424783288531544,-0.131720308448883,-0.0529011234537848,0.131720308448883,0.0668604119209437,0.070114107616389,0.0678092029924407,0.070114107616389,15463,14904,15293,14832.6666666667,15244,14881,,,,,81.6,116.4,123.2
-4.002821,5.303131,2023-02-05,2,2023,Ivory Coast,0.0251775338928341,-0.213666749195345,-0.0586666666666666,0.213666749195345,0.0462744091003589,-0.173766417352894,-0.0666808817658961,0.173766417352894,0.0611115302955735,0.0436177253296662,0.0542124659781843,0.0436177253296662,15463,14904,15300.25,14867.875,15203.5,14883,,,,,81.6,116.4,123.2
-4.001539,5.302934,2023-02-05,2,2023,Ivory Coast,0.0396732788798133,-0.204641821022093,-0.0889092575618698,0.204641821022093,0.0424783288531544,-0.131720308448883,-0.0529011234537848,0.131720308448883,0.0668604119209437,0.070114107616389,0.0678092029924407,0.070114107616389,15463,14904,15293,14832.6666666667,15244,14881,,,,,81.6,116.4,123.2
-4.001938,5.304046,2023-02-05,2,2023,Ivory Coast,0.0396732788798133,-0.204641821022093,-0.0889092575618698,0.204641821022093,0.0424783288531544,-0.131720308448883,-0.0529011234537848,0.131720308448883,0.0668604119209437,0.070114107616389,0.0678092029924407,0.070114107616389,15463,14904,15293,14832.6666666667,15244,14881,,,,,81.6,116.4,123.2
-4.002511,5.301449,2023-02-05,2,2023,Ivory Coast,0.0251775338928341,-0.213666749195345,-0.0586666666666666,0.213666749195345,0.0462744091003589,-0.173766417352894,-0.0666808817658961,0.173766417352894,0.0611115302955735,0.0436177253296662,0.0542124659781843,0.0436177253296662,15463,14904,15300.25,14867.875,15203.5,14883,,,,,81.6,116.4,123.2
-4.00265,5.303249,2023-02-05,2,2023,Ivory Coast,0.0251775338928341,-0.213666749195345,-0.0586666666666666,0.213666749195345,0.0462744091003589,-0.173766417352894,-0.0666808817658961,0.173766417352894,0.0611115302955735,0.0436177253296662,0.0542124659781843,0.0436177253296662,15463,14904,15300.25,14867.875,15203.5,14883,,,,,81.6,116.4,123.2
-4.003244,5.30247,2023-02-05,2,2023,Ivory Coast,0.0251775338928341,-0.213666749195345,-0.0586666666666666,0.213666749195345,0.0462744091003589,-0.173766417352894,-0.0666808817658961,0.173766417352894,0.0611115302955735,0.0436177253296662,0.0542124659781843,0.0436177253296662,15463,14904,15300.25,14867.875,15203.5,14883,,,,,81.6,116.4,123.2
-4.002288,5.303123,2023-02-05,2,2023,Ivory Coast,0.0251775338928341,-0.213666749195345,-0.0586666666666666,0.213666749195345,0.0462744091003589,-0.173766417352894,-0.0666808817658961,0.173766417352894,0.0611115302955735,0.0436177253296662,0.0542124659781843,0.0436177253296662,15463,14904,15300.25,14867.875,15203.5,14883,,,,,81.6,116.4,123.2
-3.887915,5.350244,2023-02-05,2,2023,Ivory Coast,0.107314148681055,-0.159308147473828,-0.145426356589147,0.159308147473828,0.16973876057684,-0.105440427368285,-0.190310303855853,0.105440427368285,0.087401010892026,0.0767931571338781,0.0565934332222107,0.0767931571338781,15320,14862,15170,14844,15201,14851,,,,,110.4,159.3,170.1
-3.88399,5.351018,2023-02-05,2,2023,Ivory Coast,0.10929079543005,-0.0731268011527377,-0.137992038920832,0.0731268011527377,0.118813218818773,-0.126698901183502,-0.15344985203436,0.126698901183502,0.0427674744171029,0.0296277757154267,0.0435139218821991,0.0296277757154267,15294,14860,15235.8333333333,14834.1111111111,15294,14848,,,,,110.4,159.3,170.1
-3.885848,5.350373,2023-02-05,2,2023,Ivory Coast,0.107314148681055,-0.159308147473828,-0.145426356589147,0.159308147473828,0.16973876057684,-0.105440427368285,-0.190310303855853,0.105440427368285,0.087401010892026,0.0767931571338781,0.0565934332222107,0.0767931571338781,15320,14862,15170,14844,15201,14851,,,,,110.4,159.3,170.1
-3.887104,5.351529,2023-02-05,2,2023,Ivory Coast,0.107314148681055,-0.159308147473828,-0.145426356589147,0.159308147473828,0.16973876057684,-0.105440427368285,-0.190310303855853,0.105440427368285,0.087401010892026,0.0767931571338781,0.0565934332222107,0.0767931571338781,15320,14862,15170,14844,15201,14851,,,,,110.4,159.3,170.1
