"site","methods","sampling point","dt_placement","ecozone","altitude","latitude","longitude","x","y","week","month","year","aedesspecies","aedesfemale","aedesmale","aedestotal","country_code","nuts0_code","nuts0_name","nuts1_code","nuts1_name","nuts2_code","nuts2_name","nuts3_code","nuts3_name","lau1_municipality","lau2_settlement","ndbi","ndmi","ndvi","ndwi","ndi_mission","ndi_acquisition","ndi_dates_diff","ndbi_std","ndmi_std","ndvi_std","ndwi_std","ndbi_mean","ndmi_mean","ndvi_mean","ndwi_mean","ndi_measures_mission","ndi_measures_acquisition","ndi_measures_dates_diff","lst_day","lst_day_mission","lst_day_acquisition","lst_day_diff","lst_night","lst_night_mission","lst_night_acquisition","lst_night_diff","lst_jan_day_mean","lst_feb_day_mean","lst_mar_day_mean","lst_apr_day_mean","lst_jan_night_mean","lst_feb_night_mean","lst_mar_night_mean","lst_apr_night_mean","acc_rainfall_1week","acc_rainfall_2week","acc_rainfall_jan","sp_cnt_1km","biol_cnt_1km","wc_l_1km","pg_area_1km","fs_area_1km","wc_mean_dist_1km","coast_mean_dist_1km","dem_mean_1km","slope_mean_1km","aspect_mean_1km","waw_mean_1km","flow_accu_1km"
"Treichvillle","BG-Sentinel Trap","tppzd36","2013-07-06","domestic",26,"N 05°18'36.7"" ","W 004°00'27.7"" ",-4.007694,5.310194,27,7,2013,"Aedes aegypti",10,12,22,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd38","2013-07-06","domestic",25,"N 05°18'39.0"" ","W 004°00'26.9"" ",-4.007472,5.310833,27,7,2013,"Aedes aegypti",11,13,24,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd40","2013-07-06","domestic",38,"N 05°18'38.1"" ","W 004°00'29.8"" ",-4.008278,5.310583,27,7,2013,"Aedes aegypti",11,8,19,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd42","2013-07-06","domestic",22,"N 05°18'35.9"" ","W 004°00'35.9"" ",-4.009972,5.309972,27,7,2013,,0,0,0,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd44","2013-07-06","domestic",41,"N 05°18'34.8"" ","W 004°00'38.8"" ",-4.010778,5.309667,27,7,2013,,0,0,0,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.097932587370609,0.097932587370609,0.043672498215457,0.157600138948104,-0.022914849539431,0.022914849539431,0.102245635656417,-0.065303327862178,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd46","2013-07-06","domestic",30,"N 05°18'33.1"" ","W 004°00'44.0"" ",-4.012222,5.309194,27,7,2013,,0,0,0,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.081711698039316,0.081711698039316,0.040295496180583,0.093157326297696,0.019682810665569,-0.019682810665569,0.147164037434918,-0.16239104464853,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd48","2013-07-06","domestic",55,"N 05°18'35.2"" ","W 004°00'47.2"" ",-4.013111,5.309778,27,7,2013,"Aedes aegypti",9,13,22,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.098051838559184,0.098051838559184,0.053107051131314,0.150387169988621,-0.026473635099529,0.026473635099529,0.129919768841241,-0.085507202900414,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd50","2013-07-06","domestic",115,"N 05°18'37.0"" ","W 004°00'43.2"" ",-4.012,5.310278,27,7,2013,"Aedes aegypti",0,3,3,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.098051838559184,0.098051838559184,0.053107051131314,0.150387169988621,-0.026473635099529,0.026473635099529,0.129919768841241,-0.085507202900414,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd1","2013-07-06","domestic",60,"N 05°18'37.8"" ","W 004°00'40.2"" ",-4.011167,5.3105,27,7,2013,"Aedes aegypti",15,4,19,,,,,,,,,,,,-0.014545275115083,0.014545275115083,0.148072256692986,-0.127282132857411,"ls8_level1_scene","2013-06-12",24,0.098051838559184,0.098051838559184,0.053107051131314,0.150387169988621,-0.026473635099529,0.026473635099529,0.129919768841241,-0.085507202900414,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15215.4285714286,15217,15406,15402,14850.8,14871.25,14880.75,14875,41.2,41.6,683.5,,,,,,,,,,,,
"Treichvillle","BG-Sentinel Trap","tppzd3","2013-07-06","domestic",30,"N 05°18'38.7"" ","W 004°00'36.9"" ",-4.01025,5.31075,27,7,2013,"Aedes aegypti",3,4,7,,,,,,,,,,,,0.035544176273374,-0.035544176273374,0.166363554108561,-0.207529533194708,"ls8_level1_scene","2013-06-12",24,0.085590138945459,0.085590138945459,0.065707510614035,0.142373407289017,-0.012045156063784,0.012045156063784,0.119879368165144,-0.095631847514051,"ls8_level1_scene","2013-06-12",24,,,,,14412,"modis","2013-07-06",0,15257.2,15184,15423.1666666667,15660,14852.1875,14872.25,14883,14877,41.2,41.6,683.5,,,,,,,,,,,,
