x,y,dt_placement,month,year,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_day_mean,lst_jan_night_mean,lst_feb_day_mean,lst_feb_night_mean,lst_mar_day_mean,lst_mar_night_mean,lst_apr_day_mean,lst_apr_night_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan
-3.058667,5.286083,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.05775,5.2865,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.056917,5.288139,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.056417,5.287139,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.054667,5.287944,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055278,5.287806,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055833,5.287611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.057361,5.286722,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055472,5.286278,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.054111,5.295861,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15081,14741.1666666667,14871,14768.4444444444,15242,14704.5,,14745,15.8,104.3,1709
-3.054778,5.296389,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.055333,5.297361,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.056694,5.299222,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.056667,5.298278,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.056194,5.297056,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.055667,5.295389,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.056194,5.294083,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.057222,5.295139,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.05775,5.2965,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.058,5.298556,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.058389,5.299611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.05925,5.300056,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,19.7,123.6,1823.9
-3.058583,5.29875,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.058889,5.297556,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.061556,5.296583,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.059861,5.296472,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.059472,5.295333,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14694,15034.4285714286,14741.5,14871,14767.7777777778,15181,14711,15238,14717,15.8,104.3,1709
-3.051194,5.288083,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.050667,5.287528,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.049833,5.288111,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.048889,5.288278,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.048028,5.287361,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.048083,5.288611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.046639,5.288611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.046139,5.289722,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.050333,5.288611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.056694,5.285139,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.056833,5.285,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.057028,5.284778,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055333,5.284306,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055472,5.284111,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055694,5.283667,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055667,5.283556,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.055694,5.282806,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14696,15006.2857142857,14739,,14755.7777777778,15186.5,14707.5,15209,14721,15.8,104.3,1709
-3.053278,5.282222,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.053333,5.282083,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,15042,,15038.3333333333,14726.5833333333,,14753.6363636364,15138,14696.75,15027,14705,15.8,104.3,1709
-3.053056,5.281694,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,15042,,15038.3333333333,14726.5833333333,,14753.6363636364,15138,14696.75,15027,14705,15.8,104.3,1709
-3.053167,5.281028,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,15042,,15038.3333333333,14726.5833333333,,14753.6363636364,15138,14696.75,15027,14705,15.8,104.3,1709
-3.053361,5.280528,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,15042,,15038.3333333333,14726.5833333333,,14753.6363636364,15138,14696.75,15027,14705,15.8,104.3,1709
-3.052083,5.283778,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.051917,5.283611,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.05175,5.283333,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.051417,5.28275,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.051278,5.282139,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.0515,5.285639,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.051278,5.285444,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
-3.051,5.285306,2022-12-12,12,2022,Ivory Coast,,,,,,,,,,,,,,14674,15042.5555555556,14741.0833333333,,14764.2,15215.5,14701.5,15269,14700,15.8,104.3,1709
