x,y,dt_placement,month,year,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan,region,ndvi,ndmi,ndwi,ndbi,ndvi_mean,ndmi_mean,ndwi_mean,ndbi_mean,ndvi_std,ndmi_std,ndwi_std,ndbi_std,lst_day,lst_night,lst_jan_mean,lst_feb_mean,lst_mar_mean,lst_apr_mean
-4.002558,5.302408,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.00561241333773525,-0.163416643779182,-0.0221476510067115,0.163416643779182,0.0261507653727159,-0.16014758919747,-0.048516458900169,0.16014758919747,0.0198745756014502,0.0468468248226014,0.0221346026463634,0.0468468248226014,15531,14779,15275.5555555556,15354.5,15572,15567
-4.002063,5.303105,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.00561241333773525,-0.163416643779182,-0.0221476510067115,0.163416643779182,0.0261507653727159,-0.16014758919747,-0.048516458900169,0.16014758919747,0.0198745756014502,0.0468468248226014,0.0221346026463634,0.0468468248226014,15531,14779,15275.5555555556,15354.5,15572,15567
-4.001441,5.303794,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.023469112489884,-0.155387355298308,-0.0562360801781737,0.155387355298308,0.0330720416811369,-0.170515481710126,-0.0620160871173354,0.170515481710126,0.0199519408999767,0.0579524176588806,0.0275609428852266,0.0579524176588806,15521,14777,15312.75,15374.5,15586,
-4.002821,5.303131,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.00561241333773525,-0.163416643779182,-0.0221476510067115,0.163416643779182,0.0261507653727159,-0.16014758919747,-0.048516458900169,0.16014758919747,0.0198745756014502,0.0468468248226014,0.0221346026463634,0.0468468248226014,15531,14779,15275.5555555556,15354.5,15572,15567
-4.001539,5.302934,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.023469112489884,-0.155387355298308,-0.0562360801781737,0.155387355298308,0.0330720416811369,-0.170515481710126,-0.0620160871173354,0.170515481710126,0.0199519408999767,0.0579524176588806,0.0275609428852266,0.0579524176588806,15521,14777,15312.75,15374.5,15586,
-4.001938,5.304046,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.023469112489884,-0.155387355298308,-0.0562360801781737,0.155387355298308,0.0330720416811369,-0.170515481710126,-0.0620160871173354,0.170515481710126,0.0199519408999767,0.0579524176588806,0.0275609428852266,0.0579524176588806,15521,14777,15312.75,15374.5,15586,
-4.002511,5.301449,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.00561241333773525,-0.163416643779182,-0.0221476510067115,0.163416643779182,0.0261507653727159,-0.16014758919747,-0.048516458900169,0.16014758919747,0.0198745756014502,0.0468468248226014,0.0221346026463634,0.0468468248226014,15531,14779,15275.5555555556,15354.5,15572,15567
-4.00265,5.303249,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.00561241333773525,-0.163416643779182,-0.0221476510067115,0.163416643779182,0.0261507653727159,-0.16014758919747,-0.048516458900169,0.16014758919747,0.0198745756014502,0.0468468248226014,0.0221346026463634,0.0468468248226014,15531,14779,15275.5555555556,15354.5,15572,15567
-4.003244,5.30247,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.00561241333773525,-0.163416643779182,-0.0221476510067115,0.163416643779182,0.0261507653727159,-0.16014758919747,-0.048516458900169,0.16014758919747,0.0198745756014502,0.0468468248226014,0.0221346026463634,0.0468468248226014,15531,14779,15275.5555555556,15354.5,15572,15567
-4.002288,5.303123,2022-09-10,9,2022,,26,1371.5,Ivory Coast,0.00561241333773525,-0.163416643779182,-0.0221476510067115,0.163416643779182,0.0261507653727159,-0.16014758919747,-0.048516458900169,0.16014758919747,0.0198745756014502,0.0468468248226014,0.0221346026463634,0.0468468248226014,15531,14779,15275.5555555556,15354.5,15572,15567
-3.887915,5.350244,2022-09-10,9,2022,0.5,19.9,1244,Ivory Coast,0.115072933549433,-0.156173344235487,-0.159876369766788,0.156173344235487,0.205199056332922,-0.0898896977692873,-0.224615824083473,0.0898896977692873,0.0938830712312417,0.091845723057648,0.0608835611638923,0.091845723057648,15265,14744,15180.4444444444,15293.5,15128,15353
-3.88399,5.351018,2022-09-10,9,2022,0.5,19.9,1244,Ivory Coast,0.243878060969515,-0.0602227676043043,-0.253588516746411,0.0602227676043043,0.158160265179365,-0.125802700893309,-0.190728728140695,0.125802700893309,0.0543868380102786,0.0313635813985103,0.0530438870262609,0.0313635813985103,15265,14721,15247.3333333333,15345.5,15136,15280
-3.885848,5.350373,2022-09-10,9,2022,0.5,19.9,1244,Ivory Coast,0.115072933549433,-0.156173344235487,-0.159876369766788,0.156173344235487,0.205199056332922,-0.0898896977692873,-0.224615824083473,0.0898896977692873,0.0938830712312417,0.091845723057648,0.0608835611638923,0.091845723057648,15265,14744,15180.4444444444,15293.5,15128,15353
-3.887104,5.351529,2022-09-10,9,2022,0.5,19.9,1244,Ivory Coast,0.115072933549433,-0.156173344235487,-0.159876369766788,0.156173344235487,0.205199056332922,-0.0898896977692873,-0.224615824083473,0.0898896977692873,0.0938830712312417,0.091845723057648,0.0608835611638923,0.091845723057648,15265,14744,15180.4444444444,15293.5,15128,15353
-3.887329,5.351022,2022-09-10,9,2022,0.5,19.9,1244,Ivory Coast,0.115072933549433,-0.156173344235487,-0.159876369766788,0.156173344235487,0.205199056332922,-0.0898896977692873,-0.224615824083473,0.0898896977692873,0.0938830712312417,0.091845723057648,0.0608835611638923,0.091845723057648,15265,14744,15180.4444444444,15293.5,15128,15353
