id,dt_placement,week,month,year,method,health district,site,longitude,latitude,x,y,altitude,genus,total,country_code,nuts0_code,nuts0_name,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,lau1_municipality,lau2_settlement,ndbi,ndmi,ndvi,ndwi,ndi_mission,ndi_acquisition,ndi_dates_diff,ndbi_std,ndmi_std,ndvi_std,ndwi_std,ndbi_mean,ndmi_mean,ndvi_mean,ndwi_mean,ndi_measures_mission,ndi_measures_acquisition,ndi_measures_dates_diff,lst_day,lst_day_mission,lst_day_acquisition,lst_day_diff,lst_night,lst_night_mission,lst_night_acquisition,lst_night_diff,lst_jan_day_mean,lst_feb_day_mean,lst_mar_day_mean,lst_apr_day_mean,lst_jan_night_mean,lst_feb_night_mean,lst_mar_night_mean,lst_apr_night_mean,acc_rainfall_1week,acc_rainfall_2week,acc_rainfall_jan,sp_cnt_1km,biol_cnt_1km,wc_l_1km,pg_area_1km,fs_area_1km,wc_mean_dist_1km,coast_mean_dist_1km,dem_mean_1km,slope_mean_1km,aspect_mean_1km,waw_mean_1km,flow_accu_1km,point,day,total_all_aedes,methods,sampling point,ecozone,aedesspecies,aedesfemale,aedesmale,station_id
T1.1,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388909,586182,-4.002558,5.302408,12,Aedes,2,,,,,,,,,,,,0.130273528048215,-0.130273528048215,-0.0074074074074069,-0.008602150537634,sentinel2_level1C_scene,2019-10-22,25.0,0.0,0.0,0.0,0.0,-0.04257528556594,0.04257528556594,-0.096512935883015,0.074441115464393,sentinel2_level1C_scene,2019-11-06,10.0,15078.0,modis,2019-11-12,4.0,14950.0,modis,2019-11-09,7.0,15236.1428571429,15295.0,15583.0,,14876.6,14850.875,14881.8333333333,14751.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,0
T1.2,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388964,586259,-4.002063,5.303105,4,Aedes,1,,,,,,,,,,,,0.130273528048215,-0.130273528048215,-0.0074074074074069,-0.008602150537634,sentinel2_level1C_scene,2019-10-22,25.0,0.0,0.0,0.0,0.0,-0.04257528556594,0.04257528556594,-0.096512935883015,0.074441115464393,sentinel2_level1C_scene,2019-11-06,10.0,15078.0,modis,2019-11-12,4.0,14950.0,modis,2019-11-09,7.0,15236.1428571429,15295.0,15583.0,,14876.6,14850.875,14881.8333333333,14751.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,1
T1.3,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,389033,586335,-4.001441,5.303794,10,Aedes,7,,,,,,,,,,,,0.1958637469586369,-0.1958637469586369,0.018228498074455,-0.056473095364944,sentinel2_level1C_scene,2019-10-17,30.0,0.001988393646777,0.001988393646777,0.0101918091343209,0.0026083834880409,0.152684890058765,-0.152684890058765,0.013726765929293,-0.043129662250004,sentinel2_level1C_scene,2019-11-16,0.0,15078.0,modis,2019-11-12,4.0,14900.0,modis,2019-11-09,7.0,15299.6666666667,15274.6666666667,15578.5,,14874.0,14847.375,14881.4,14739.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,2
T1.4,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388880,586262,-4.002821,5.303131,35,Aedes,28,,,,,,,,,,,,0.130273528048215,-0.130273528048215,-0.0074074074074069,-0.008602150537634,sentinel2_level1C_scene,2019-10-22,25.0,0.0,0.0,0.0,0.0,-0.04257528556594,0.04257528556594,-0.096512935883015,0.074441115464393,sentinel2_level1C_scene,2019-11-06,10.0,15078.0,modis,2019-11-12,4.0,14950.0,modis,2019-11-09,7.0,15236.1428571429,15295.0,15583.0,,14876.6,14850.875,14881.8333333333,14751.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,3
T1.5,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,389022,586240,-4.001539,5.302934,86,Aedes,35,,,,,,,,,,,,0.1958637469586369,-0.1958637469586369,0.018228498074455,-0.056473095364944,sentinel2_level1C_scene,2019-10-17,30.0,0.001988393646777,0.001988393646777,0.0101918091343209,0.0026083834880409,0.152684890058765,-0.152684890058765,0.013726765929293,-0.043129662250004,sentinel2_level1C_scene,2019-11-16,0.0,15078.0,modis,2019-11-12,4.0,14900.0,modis,2019-11-09,7.0,15299.6666666667,15274.6666666667,15578.5,,14874.0,14847.375,14881.4,14739.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,4
T1.6,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388978,586363,-4.001938,5.304046,11,Aedes,5,,,,,,,,,,,,0.1958637469586369,-0.1958637469586369,0.018228498074455,-0.056473095364944,sentinel2_level1C_scene,2019-10-17,30.0,0.0448295920160479,0.0448295920160479,0.0152989817265799,0.010917406245458,0.069696589707819,-0.069696589707819,0.00636698384226,-0.0116105529114519,sentinel2_level1C_scene,2019-10-22,25.0,15078.0,modis,2019-11-12,4.0,14900.0,modis,2019-11-09,7.0,15299.6666666667,15274.6666666667,15578.5,,14874.0,14847.375,14881.4,14739.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,5
T1.7,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388914,586076,-4.002511,5.301449,7,Aedes,0,,,,,,,,,,,,0.130273528048215,-0.130273528048215,-0.0074074074074069,-0.008602150537634,sentinel2_level1C_scene,2019-10-22,25.0,0.0,0.0,0.0,0.0,-0.04257528556594,0.04257528556594,-0.096512935883015,0.074441115464393,sentinel2_level1C_scene,2019-11-06,10.0,15078.0,modis,2019-11-12,4.0,14950.0,modis,2019-11-09,7.0,15236.1428571429,15295.0,15583.0,,14876.6,14850.875,14881.8333333333,14751.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,6
T1.8,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388899,586275,-4.00265,5.303249,9,Aedes,5,,,,,,,,,,,,0.130273528048215,-0.130273528048215,-0.0074074074074069,-0.008602150537634,sentinel2_level1C_scene,2019-10-22,25.0,0.0,0.0,0.0,0.0,-0.04257528556594,0.04257528556594,-0.096512935883015,0.074441115464393,sentinel2_level1C_scene,2019-11-06,10.0,15078.0,modis,2019-11-12,4.0,14950.0,modis,2019-11-09,7.0,15236.1428571429,15295.0,15583.0,,14876.6,14850.875,14881.8333333333,14751.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,7
T1.9,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388833,586189,-4.003244,5.30247,14,Aedes,20,,,,,,,,,,,,0.130273528048215,-0.130273528048215,-0.0074074074074069,-0.008602150537634,sentinel2_level1C_scene,2019-10-22,25.0,0.0,0.0,0.0,0.0,-0.04257528556594,0.04257528556594,-0.096512935883015,0.074441115464393,sentinel2_level1C_scene,2019-11-06,10.0,15078.0,modis,2019-11-12,4.0,14950.0,modis,2019-11-09,7.0,15236.1428571429,15295.0,15583.0,,14876.6,14850.875,14881.8333333333,14751.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,8
T1.10,2019-11-16,46,11,2019,Prokopack aspirtor,Treichville,Entente,388939,586261,-4.002288,5.303123,7,Aedes,20,,,,,,,,,,,,0.130273528048215,-0.130273528048215,-0.0074074074074069,-0.008602150537634,sentinel2_level1C_scene,2019-10-22,25.0,0.0,0.0,0.0,0.0,-0.04257528556594,0.04257528556594,-0.096512935883015,0.074441115464393,sentinel2_level1C_scene,2019-11-06,10.0,15078.0,modis,2019-11-12,4.0,14950.0,modis,2019-11-09,7.0,15236.1428571429,15295.0,15583.0,,14876.6,14850.875,14881.8333333333,14751.6,29.75,59.1,1224.54995,,,,,,,,,,,,,,,,,,,,,,9
