x,y
11.585081,45.519406
11.535037,45.737123
11.418664,45.631146
11.373315,45.555083
12.049586,44.986146
12.026987,45.883835
11.002498,45.234771
11.117869,45.314329
11.531392,45.62609
11.230156,45.32942
11.240252,45.376772
12.797359,45.826409
12.139038,45.361249
11.455028,44.963914
11.348855,45.051382
10.842836,45.26645
12.877089,45.606292
11.55367,45.498955
11.729831,45.098999
11.210249,45.157135
12.234191,45.990505
10.702677,45.373542
11.670841,45.559359
11.681616,45.707503
12.128846,45.639174
11.688548,45.777548
12.213579,45.5194
11.010296,45.365759
11.031128,45.422389
12.859687,45.690322
11.817047,45.811671
12.429368,45.55892
12.550696,45.693042
12.271633,45.693974
12.31386,45.139908
10.666028,45.429941
12.112599,45.783599
13.295943,45.893711
12.843646,46.155191
13.61418,45.960976
13.473531,45.788481
11.492971,45.304999
12.42435,45.864107
11.092456,45.477135
13.073224,45.93968
12.722005,45.911852
13.287256,46.105368
11.384874,45.401839
12.894505,45.914624
12.126829,44.944259
11.541812,45.404805
12.202418,45.001155
11.37895,45.005233
12.264539,45.04901
12.506765,45.629647
12.545724,45.785475
12.78304,45.697488
12.69061,45.636265
12.411409,45.788673
12.260767,45.594461
12.362191,45.63449
12.64166,45.608152
12.389119,45.712307
12.903255,45.793908
12.952838,45.63806
12.658373,45.674905
12.744675,45.683372
12.639417,45.543168
12.891558,46.152891
12.694802,45.751713
11.000028,45.234662
12.168457,45.537997
11.610336,44.916966
10.998739,45.376162
11.081258,45.396479
13.191821,45.832649
13.006921,45.876679
11.247569,45.337162
11.483487,45.179494
11.087499,45.329242
11.906861,45.591114
11.910472,45.725139
12.882561,46.138072
13.085103,45.785863
11.797415,45.300675
12.975591,45.694464
13.117108,46.01971
12.387234,44.980015
11.999591,45.28376
12.649761,46.104156
11.378061,45.491496
11.835764,45.064263
12.821231,46.025438
12.481319,45.980338
11.50945,45.073324
11.730748,45.69585
11.73371,45.474447
13.083686,46.123687
12.299455,45.797542
11.640704,45.063327
11.828016,45.212872
12.255492,45.700641
12.581891,45.813864
12.084125,45.464148
12.089294,45.737439
13.522398,45.941135
11.34443,45.243415
11.958691,45.445442
12.637082,45.544211
12.450199,44.902272
12.123522,45.139014
11.683377,45.207218
11.517407,45.557696
10.791083,45.332144
11.130067,45.292435
11.549733,45.288584
11.348957,45.142783
12.461786,45.712302
12.646058,45.875186
12.587252,45.781058
11.790342,44.975883
11.832971,45.340596
13.387753,46.059641
11.595169,45.387761
12.223217,45.510817
12.985235,45.771308
11.771234,45.070988
11.980783,45.320831
12.079125,45.054087
12.283716,45.198981
12.48239,45.608577
12.156959,45.431691
12.122842,45.137652
12.324013,45.138667
11.783583,45.541315
11.9324,45.425215
11.674246,45.249624
11.461538,45.010026
11.783673,45.108846
11.788888,45.383718
11.771595,44.966929
10.83273,45.3563
10.83983,45.35928
10.84468,45.3591
11.296163,45.150683
11.151194,45.361143
11.882716,45.074497
12.021445,45.185313
11.889602,45.072354
13.47015,45.75405
10.973647,45.417226
10.643895,45.45549
11.818167,45.625004
11.643152,45.359249
11.080553,45.581241
10.871661,45.53672
13.161218,45.761223
13.157778,45.910453
13.499109,45.725903
13.282988,45.836887
12.80401,45.85616
13.512166,45.728714
13.517398,45.731658
12.493507,45.704152
12.261567,45.658883
12.25945,45.662611
13.019106,45.634267
11.950384,45.170173
11.89092,45.186185
11.19535,45.423217
11.754071,45.079255
11.771601,45.793416
12.173996,45.882247
10.786883,45.33195
11.855163,45.484717
12.288496,45.195662
12.043984,45.19532
11.709889,45.172266
12.096949,45.467851
11.90557,45.857596
12.29941,45.986158
11.649377,45.743659
11.459718,45.701843
11.897642,45.351147
10.8808,45.4572
13.396095,45.678557
11.77137,44.967649
12.049587,44.986146
11.92895,45.46068
12.674271,45.983511
12.139038,45.36125
13.085103,45.785864
