x,y
22.19372,40.665896
22.447874,40.753947
22.615797,40.66416
22.547799,40.509188
22.715266,40.669967
22.597765,40.86036
22.752899,40.621643
22.904826,40.886835
22.541499,40.463636
22.568874,40.190952
22.397638,40.602725
22.236283,40.560428
22.703066,40.811814
22.667215,40.619191
22.913496,40.841007
22.555851,40.634085
22.578157,40.986209
22.540475,40.423905
22.823903,40.664304
22.632775,40.660102
22.584012,40.463608
23.428242,41.05343
22.258258,40.672683
22.502875,40.665104
22.2732,40.799894
22.271389,40.755077
22.448961,40.788468
22.365032,40.5716
22.687,40.726835
22.860686,40.644735
22.592216,40.559784
22.302082,40.695121
22.172713,40.754304
22.382103,40.529564
22.34762,40.770408
22.740333,40.921165
22.582148,40.237544
23.555229,40.288996
22.281673,40.781853
22.335299,40.803
22.322961,40.59874
23.271716,41.200001
22.152714,40.773107
22.555427,40.592818
23.482536,40.997023
22.334327,40.570658
23.317887,40.110141
22.730024,40.708914
23.342794,40.23963
23.340329,41.109759
22.610033,40.732426
22.264065,40.710122
23.074921,41.205796
22.183789,40.818249
22.590405,40.783145
22.55089,40.681455
23.213111,41.142305
23.201754,40.267561
23.607422,39.984507
22.560071,40.559437
23.795868,40.183212
22.710721,40.76931
22.861123,40.640005
23.706735,40.739334
23.119915,40.66671
23.087332,40.731547
23.444226,40.62913
22.795426,41.166604
23.877965,40.391582
23.849832,40.793179
22.660553,39.973322
22.600857,40.282436
22.708339,39.950355
22.674419,39.533986
22.718985,39.893727
22.681431,39.964746
22.687223,39.931673
22.478875,39.675618
22.535086,39.626554
22.737492,39.867174
22.514919,39.846738
22.506449,39.839017
22.245729,39.616165
22.638794,39.894496
22.647004,39.893978
22.514387,39.833871
22.518403,39.83321
22.516236,39.832404
22.517193,39.834852
22.71016,39.504915
21.459368,38.009872
21.425817,38.07626
21.484964,38.074614
21.451912,38.041265
21.466677,38.019592
21.453089,38.172445
21.422261,38.098116
21.481071,38.140467
21.350706,38.04709
21.399085,38.124535
21.509886,38.076196
21.382898,38.051089
21.417029,38.017056
21.398225,38.07139
21.479409,38.043525
21.389184,38.021159
21.467488,38.056895
21.38421,38.082547
21.262166,37.977301
21.407259,38.163848
21.369829,38.160777
21.491014,38.156967
21.368985,37.996736
22.515092,39.77756
21.499754,38.065452
21.324267,38.006381
21.368104,38.039801
21.441411,38.10203
21.747076,38.276862
21.772888,38.27959
21.469812,38.104184
21.361588,38.031639
21.355781,38.435357
21.559605,38.349719
21.11133,37.857705
22.071299,38.251842
21.537186,38.361036
21.592251,38.346035
21.295254,37.770656
21.25876,37.94226
21.430657,37.678193
21.429218,38.363006
21.250457,37.852831
21.305636,37.972666
21.11153,37.880987
21.206687,37.937291
22.516638,39.835877
22.946414,40.590737
22.952207,40.617725
22.996318,39.349403
22.964694,39.350673
22.831567,40.499345
22.767294,39.181216
22.959912,40.710694
22.968052,40.635866
21.408532,38.165492
22.86322,40.704323
22.876009,40.669167
22.976324,40.524154
22.952145,40.5721
22.35289,40.254455
23.397765,39.151305
22.976398,40.724792
22.623476,40.990383
23.440316,39.143018
22.926522,40.505828
22.892105,39.10895
22.746258,39.462389
