x,y
99.172061,13.553044
99.172061,13.571011
99.172061,13.588978
99.172061,13.606944
99.172061,13.624911
99.172061,13.642878
99.172061,13.660844
99.172061,13.678811
99.172061,13.696778
99.172061,13.714744
99.172061,13.732711
99.190512,13.24761
99.190512,13.265577
99.190512,13.283544
99.190512,13.30151
99.190512,13.319477
99.190512,13.337444
99.190512,13.445244
99.190512,13.481177
99.190512,13.499144
99.190512,13.517111
99.190512,13.535077
99.190512,13.553044
99.190512,13.571011
99.190512,13.588978
99.190512,13.606944
99.190512,13.624911
99.190512,13.642878
99.190512,13.660844
99.190512,13.678811
99.190512,13.696778
99.190512,13.714744
99.190512,13.732711
99.208962,13.19371
99.208962,13.211677
99.208962,13.229644
99.208962,13.24761
99.208962,13.265577
99.208962,13.283544
99.208962,13.30151
99.208962,13.319477
99.208962,13.337444
99.208962,13.355411
99.208962,13.373377
99.208962,13.391344
99.208962,13.409311
99.208962,13.427277
99.208962,13.445244
99.208962,13.463211
99.208962,13.481177
99.208962,13.499144
99.208962,13.517111
99.208962,13.535077
99.208962,13.553044
99.208962,13.571011
99.208962,13.588978
99.208962,13.606944
99.208962,13.624911
99.208962,13.642878
99.208962,13.660844
99.208962,13.678811
99.208962,13.696778
99.208962,13.714744
99.208962,13.732711
99.208962,13.750678
99.227413,13.19371
99.227413,13.211677
99.227413,13.229644
99.227413,13.24761
99.227413,13.265577
99.227413,13.283544
99.227413,13.30151
99.227413,13.319477
99.227413,13.337444
99.227413,13.355411
99.227413,13.373377
99.227413,13.391344
99.227413,13.409311
99.227413,13.427277
99.227413,13.445244
99.227413,13.463211
99.227413,13.481177
99.227413,13.499144
99.227413,13.517111
99.227413,13.535077
99.227413,13.553044
99.227413,13.571011
99.227413,13.588978
99.227413,13.606944
99.227413,13.624911
99.227413,13.642878
99.227413,13.660844
99.227413,13.678811
99.227413,13.696778
99.227413,13.714744
99.227413,13.732711
99.227413,13.750678
99.245863,13.175744
99.245863,13.19371
99.245863,13.211677
99.245863,13.229644
99.245863,13.24761
99.245863,13.265577
99.245863,13.283544
99.245863,13.30151
99.245863,13.319477
99.245863,13.337444
99.245863,13.355411
99.245863,13.373377
99.245863,13.391344
99.245863,13.409311
99.245863,13.427277
99.245863,13.445244
99.245863,13.463211
99.245863,13.481177
99.245863,13.499144
99.245863,13.517111
99.245863,13.535077
99.245863,13.553044
99.245863,13.571011
99.245863,13.588978
99.245863,13.606944
99.245863,13.624911
99.245863,13.642878
99.245863,13.660844
99.245863,13.678811
99.245863,13.696778
99.245863,13.714744
99.245863,13.732711
99.245863,13.750678
99.264313,13.157777
99.264313,13.175744
99.264313,13.19371
99.264313,13.211677
99.264313,13.229644
99.264313,13.24761
99.264313,13.265577
99.264313,13.283544
99.264313,13.30151
99.264313,13.319477
99.264313,13.337444
99.264313,13.355411
99.264313,13.373377
99.264313,13.391344
99.264313,13.409311
99.264313,13.427277
99.264313,13.445244
99.264313,13.463211
99.264313,13.481177
99.264313,13.499144
99.264313,13.517111
99.264313,13.535077
99.264313,13.553044
99.264313,13.571011
99.264313,13.588978
99.264313,13.606944
99.264313,13.624911
99.264313,13.642878
99.264313,13.660844
99.264313,13.678811
99.264313,13.696778
99.264313,13.714744
99.264313,13.732711
99.264313,13.750678
99.282764,13.157777
99.282764,13.175744
99.282764,13.19371
99.282764,13.211677
99.282764,13.229644
99.282764,13.24761
99.282764,13.265577
99.282764,13.283544
99.282764,13.30151
99.282764,13.319477
99.282764,13.337444
99.282764,13.355411
99.282764,13.373377
99.282764,13.391344
99.282764,13.409311
99.282764,13.427277
99.282764,13.445244
99.282764,13.463211
99.282764,13.481177
99.282764,13.499144
99.282764,13.517111
99.282764,13.535077
99.282764,13.553044
99.282764,13.571011
99.282764,13.588978
99.282764,13.606944
