x,y,DISTANCE_TO_COAST,DISTANCE_TO_RIVER,SLOPE_mean_1km,ASPECT_mean_200m,ELEVATION_mean_1km,HILLSHADE_mean_1km,FS_AREA_1km,FLOW_ACCU_200m
99.208962,13.19371,35919.4569552844,235.994305068696,29,198.268717303679,771.70210412305,193.051439622588,0,1.5009004888368
99.227413,13.19371,34421.4572184226,1857.5813979834,8,213.503502301513,870.246248794726,188.757231636925,0,4
99.245863,13.19371,32976.0399267761,827.815504004835,23,233.425953456458,888.303122062471,172.719318174313,0,2
99.264313,13.19371,31588.2664391931,985.722678298254,43,176.359462550029,831.770542976962,163.799678594622,0,1
99.282764,13.19371,30268.6290106722,615.809153450654,34,176.563100411711,664.30942534758,182.181569119106,0,1
99.301214,13.19371,29026.8118016825,258.605171402598,28,279.194665218137,667.249716016661,189.230417257382,0,22.618102807479
99.319665,13.19371,27873.217718886,1724.42329577883,31,175.078185300592,835.829059264593,178.720086472017,0,1
99.411917,13.19371,23846.3051036697,689.609482378225,20,264.905717552888,638.020741494105,173.947732403466,0,3.11878216123499
99.430367,13.19371,23472.73693768,2025.38615588884,16,235.184242874703,660.847640569157,184.840881097806,0,1.12289528601241
99.448818,13.19371,23265.5988799138,702.883955635376,9,159.797644233518,578.517039607001,176.36371231292,0,5.51112127623077
99.467268,13.19371,23229.2421493188,2133.4756849364,22,240.646110301055,696.794006377553,198.406933854633,0,1
99.485718,13.19371,21595.2698004554,2188.51773636123,23,154.063983075076,870.359793595425,191.33548558239,0,1
99.504169,13.19371,20017.8674629073,2091.10737759552,20,249.397158051235,899.859500739127,188.389580441672,0,3.43509835315645
99.522619,13.19371,18522.5933552033,1480.23918062959,27,165.687214089662,795.576395753027,153.81827197619,0,1.99799862763038
99.54107,13.19371,17126.8616273376,540.940787553236,20,129.107201052,501.952803833987,167.732413434804,0,7
99.577971,13.19371,14757.8936852549,1356.1845714139,14,139.581394019098,257.468054731554,167.529268349061,0,1.14054548573389
99.596421,13.19371,13857.1049579786,1403.00542837382,3,212.256696875268,193.458875159328,175.523920695827,0.000870993225097656,5.66468452500071
99.633322,13.19371,12774.3190480778,157.066119495488,3,197.484103385178,154.860537302656,183.657534774315,0,170.070076623971
99.190512,13.24761,34057.2847283072,1015.99647757467,16,245.71835253094,632.427825947247,194.183951368584,0,1.90556492411467
99.208962,13.24761,32360.3113517413,967.330523489693,41,71.8455008003659,644.137151868367,177.932967465897,0,10.7644065858678
99.227413,13.24761,30699.2729093461,595.849315374104,15,190.373302844076,576.197450897534,167.933303400857,0,1.0354151779334
99.245863,13.24761,29072.6196769461,681.763919168525,14,247.982880823092,615.977968599201,193.617594527585,0,1.53372392112032
99.264313,13.24761,27493.1909351774,29.4788931521443,29,166.441399216942,512.922003376229,172.671433885107,0,21.9847389328685
99.282764,13.24761,25971.2170280652,93.2832518894512,26,238.654518950437,587.609379333113,182.382024870694,0,43.6538329617561
99.301214,13.24761,24517.2164805089,723.011566295127,6,115.030409557289,660.332041760252,191.733824065077,0,1.00511589356655
99.319665,13.24761,23140.1900957271,597.927351963326,32,94.6929781943928,727.73698145931,176.789234998415,0,3.01614700923094
99.338115,13.24761,21859.7500347869,971.893934436974,18,131.455969360048,773.803613265882,161.559303493866,0,1.00505902192243
99.356566,13.24761,20693.1596295653,494.836334956321,26,98.306179614703,528.664537641272,171.60421806737,0,1.01414851654948
99.375016,13.24761,19661.0735423713,544.639167028733,52,149.183234251743,462.069720122502,176.08404798403,0,2.46175831713731
99.393466,13.24761,18785.8633500738,690.958766185035,32,129.665780749886,442.417675884526,161.849398100818,0,1.99279835390947
99.411917,13.24761,18089.8608356058,614.224150621045,9,268.915152034751,349.474892347038,181.754050535541,0,1
99.430367,13.24761,17594.6025598057,34.0396007814754,15,199.600560176055,287.955953802389,185.915350966485,0,304.210123181572
99.448818,13.24761,17317.3577362793,45.8974201018958,17,210.089233143739,348.758684061384,188.358894250609,0,114.40343556178
99.467268,13.24761,17268.4930192497,736.297158630615,21,224.348719560992,527.527068220235,189.679785716801,0,1
99.485718,13.24761,17450.0215166641,1011.42090843879,13,220.498728171711,662.807271422723,192.598068906623,0,1.00505873274458
99.504169,13.24761,16848.8170718761,677.90268620143,18,114.617651261825,545.087632303517,158.465389245807,0,1.50941724541999
99.522619,13.24761,15042.1049760338,956.080928193373,9,216.678746998971,468.187069305144,182.405329116348,0,1.99291185549331
99.54107,13.24761,13290.1537744747,969.499735660771,13,103.199153995656,393.860098227265,190.413338043312,0,16.2806390762547
99.55952,13.24761,11618.7967253105,2043.08372133104,18,242.045559779347,386.435209731609,158.399964124929,0,1.99491239603281
99.577971,13.24761,10067.2520501695,1812.53746589987,27,223.010746234531,381.595077873872,181.148051144861,0,1
99.596421,13.24761,8694.90857021812,737.332287189955,1,170.566692389037,176.215598970398,169.07541974753,0,1.85372545657206
99.614871,13.24761,7604.3791518572,324.021410717297,2,128.058567957696,132.9948212016,178.60754810417,0,1
99.633322,13.24761,6931.73367843419,1130.8580849457,5,131.329512648278,142.573645526465,179.205460261843,0,1.46534228955267
99.651772,13.24761,6583.13524132629,427.213484246267,19,174.857775745277,126.096894285538,177.990712128815,0,2.02701003229771
99.670223,13.24761,6719.98137078457,412.886277216331,3,257.599959987425,114.03586508802,181.63310007252,0,3.77813026951328
